id,GSM2811029_H7-Tub-DN1101,GSM2810966_H5-Tub-SLE301,GSM2810941_H4-Tub-IgA1,GSM2810934_H3-Tub-MCD11,GSM2810914_H2-Tub-HT1,GSM2810894_H1-Tub-DN1
51181_at,11.16487262,12.41469171,11.69266678,12.20934708,12.25583841,12.2341219
8424_at,12.1960248,12.20190115,12.29569785,11.9685427,11.79134086,12.05032816
7431_at,11.25171114,10.36192553,9.630340531,10.68648543,10.9274635,10.49207645
10247_at,12.00724599,12.19326299,12.21351291,11.89667157,11.76379672,12.19083536
3312_at,12.18119416,12.10872195,12.56817088,12.39282043,12.25381023,12.49810774
1622_at,11.77198319,11.45331087,11.70904779,11.84314416,11.58635415,11.50754528
6647_at,12.18461205,12.29134671,12.30004452,12.02882555,12.0157377,12.29062998
6227_at,11.49137414,11.52004593,11.34478242,11.43082987,10.9237451,11.35629572
5250_at,12.22068383,12.09024547,12.27576109,12.31429898,12.09116896,12.302282
1892_at,12.24480292,12.30173971,12.3117652,12.06481065,11.68372206,12.33295042
91316_at,7.243895423,8.987834839,6.831326177,7.027825533,7.74635174,6.834517952
6181_at,11.53865992,11.45970935,11.431255,11.34319426,11.07600556,11.29786205
3490_at,12.08421228,11.55615936,12.19100008,11.87110949,11.76033905,11.75343568
9045_at,11.88749557,11.9335318,12.07958463,11.65293742,11.79264268,11.80071263
7009_at,12.30727825,12.24717091,12.2431058,12.31648434,12.50092676,12.25175752
7311_at,11.89292304,11.8977941,11.94175064,11.9654175,11.74190595,11.81581255
3242_at,11.58787775,10.14054846,12.55495073,10.52467928,10.32912061,12.05131082
2495_at,11.44112461,11.10348085,11.51746208,11.32297669,10.68195088,11.1162907
1345_at,12.1399646,12.0725653,12.20607377,12.2703171,12.32631691,12.18888745
793_at,11.23546814,10.43729994,11.39766438,11.07346575,9.020343118,11.61194987
55937_at,10.8515618,11.73848872,11.32704126,11.44635761,11.41072115,11.30654778
26_at,11.37820917,10.33599878,12.03204905,10.95729907,11.61365983,11.10906125
10327_at,12.15501459,12.09755209,12.25919839,12.09914653,11.59651057,12.14330298
2197_at,11.64171177,11.93849509,11.5993194,11.87499628,11.73269866,11.7246244
3123_at,10.95322181,10.44441678,10.67783716,11.1197368,11.5477908,10.56125334
10103_at,12.01399265,10.92234761,11.69415476,11.75336671,12.26311719,11.42431337
213_at,8.111681519,9.242508913,10.68388107,9.473457401,8.895911368,11.31247995
2168_at,11.29866257,9.687205379,11.71076166,10.81908897,10.70390888,11.22711182
718_at,8.015903563,8.089600986,7.578252399,8.983562359,9.145747624,7.725304855
60_at,11.42956327,11.17689812,11.16440233,11.62792901,12.00578522,11.21358989
348_at,12.09582202,10.56310877,12.16449452,11.7292008,10.97092441,11.80488124
4190_at,12.10941733,11.66127995,11.96159236,11.89081993,11.94610721,11.98467565
3122_at,10.34635841,9.719184806,9.557989687,10.6045136,10.28278945,9.913004197
5052_at,12.05044859,12.01976168,12.2324067,11.9282182,11.86291973,12.11833001
6414_at,12.05631881,12.06642539,12.33068855,11.78389939,11.27749373,11.92055799
1340_at,11.91549623,11.95706323,11.7863832,11.84243269,11.6712219,11.82807564
3303_at,10.41713259,10.65941329,11.53110059,10.85074755,10.31129544,11.67512804
6124_at,11.88832282,11.97201018,11.80604141,11.73760192,11.94545838,11.85388735
5184_at,11.60825177,11.74162882,11.78961534,11.72567806,11.2484248,11.8002571
23787_at,11.91109583,12.12059963,12.07802216,12.00621797,12.26279621,12.23769837
302_at,10.86237677,10.23101373,9.545953237,10.26326204,11.53473787,9.960276503
6122_at,11.60279442,11.58213731,11.29977891,11.42308735,11.75577929,11.00901266
5950_at,6.945887868,12.02242711,8.284735317,11.5053755,11.79069175,10.87543418
6281_at,11.11718337,10.94159011,10.23395021,10.94058479,11.50335414,10.62886603
1528_at,11.91939539,11.87913223,12.3096549,11.97673635,11.51856988,12.09819271
9741_at,11.95365599,11.92579383,12.01655932,11.95161106,11.50144125,11.81896405
27018_at,11.96196401,11.97581454,12.03089271,11.99197033,11.9805318,11.77061374
7412_at,11.2314368,9.89978974,10.344369,9.757940256,10.1773446,10.39998446
4259_at,12.02059113,12.03929204,11.72757667,11.74512647,12.14304493,11.59553802
358_at,11.98318798,11.66949273,12.03544019,11.83045885,11.61025495,11.90300734
12_at,7.430773672,6.538297065,6.148624501,7.69455582,7.823604118,7.25072505
8655_at,11.89732532,11.48737727,11.5249913,12.03984008,11.48505425,11.42741719
2326_at,11.93175431,11.50795901,11.70743876,11.40407421,10.33055885,11.65529583
54543_at,11.48268264,11.7480481,11.50398992,11.2511742,11.33335667,11.55620976
967_at,11.66330928,11.5413956,11.56499437,11.64075015,11.67662314,11.48428903
3113_at,10.00143769,9.768858025,9.434813313,10.02460724,10.38909989,10.04404144
84790_at,11.68544527,11.42307353,11.37154373,11.62679579,11.80604439,11.40859083
293_at,11.70852937,11.67262466,11.48138426,11.83635261,11.65085824,11.63878099
57142_at,11.80293569,11.78521493,11.89888499,11.77407155,11.67125499,11.7093819
5204_at,11.53701557,11.57880313,11.51663211,11.25524492,11.58821134,11.64238472
10376_at,10.9903526,10.85969357,10.77738973,11.20635466,11.4245083,10.82387563
4707_at,11.52722166,11.89885179,11.85167077,11.73369338,11.3104755,11.73514359
55365_at,11.72888059,11.13320785,11.77840233,11.63184605,12.0525551,11.59038232
27089_at,11.83599444,11.84053001,11.92853435,11.94730154,11.60571984,11.8870345
6590_at,7.722047244,6.782403143,6.857436994,7.617188986,9.008108338,7.137444024
2_at,10.18673416,9.375460206,10.0134769,9.694580623,9.805144141,9.865360635
5037_at,11.59308762,11.77996646,11.83407497,11.65694647,11.63704161,11.76115432
4282_at,11.57815042,11.91096869,11.88020665,11.84084589,11.45136168,11.67629151
506_at,11.76993971,11.88087904,11.846845,11.89962055,11.68211314,11.78699013
10786_at,11.60755328,9.762048672,10.91697103,11.24634342,10.65748639,10.98049142
79814_at,11.63421028,11.6636282,12.06697499,11.44238466,10.97410983,11.57241394
8364_at,10.80164912,11.79468399,10.58887578,10.70550879,10.42226263,11.52125052
3417_at,11.70655183,11.08750661,12.18392445,11.52900402,10.6614228,11.71000682
1327_at,11.93847846,12.05997944,11.85298398,12.00441189,11.71316457,11.87671378
509_at,11.91798272,11.6877898,11.79910651,11.83181371,11.7112945,11.96387523
6557_at,9.979322239,11.32636435,10.21024106,10.67281508,10.71369228,10.40881001
8644_at,11.58898965,11.60546853,11.63692271,10.93862242,10.13224955,11.3149913
