symbol,WT1,p531,p53CAS1,p53RAS1,WT2,p532,p53CAS2,p53RAS2
Papolb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Msgn1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Padi6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Gm7173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Gpa33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Adam6a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Cdh16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Tbx10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Lipn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Fstl4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Actl7b,0.0,0.92906,0.0,0.0,0.0,0.00526,0.0,1.0
Gm11567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Slitrk2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Hcrt,0.0,0.0,0.97729,0.0,0.0,0.0,0.0,1.0
Olfr541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Hapln2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Ins2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Dcpp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Vmn2r20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Skint6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Ern2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Vsig1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Spinkl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Tppp2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Frmpd4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4933412E24Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
AF366264,0.0,0.0,0.0,0.25904,0.0,0.0,0.0,1.0
Trim42,0.0,0.02644,0.91693,0.37916,0.0,0.97111,1.0,0.0
Hbb-bh2,0.0,0.9928,0.91693,0.0,0.0,0.98116,1.0,0.0
Olfr697,0.0,0.0,0.0,0.65454,0.0,0.0,0.0,1.0
4930578I06Rik,0.0,1.0,0.0,0.0,0.0,0.98828,0.0,0.0
Serpinb13,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Pip,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm4302,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Neu4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Ins1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2410141K09Rik,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
9530002B09Rik,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Olfr456,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm11757,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Tmem211,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Atp1b4,0.0,0.02676,1.0,0.0,0.0,0.98286,0.0,0.0
Spink8,0.0,0.95064,1.0,0.0,0.0,0.00538,0.0,0.0
Pgc,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Fam24a,0.0,0.02676,1.0,0.0,0.0,0.98286,0.0,0.0
Ms4a15,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Rhox3c,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Lhcgr,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm13871,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Oc90,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm11758,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Fbxw18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
H2-M10.5,0.0,0.0,1.0,0.38374,0.0,0.0,0.0,0.0
Olfr1259,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Prima1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Slc26a9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Klk10,0.0,0.02723,0.0,0.0,0.0,1.0,0.0,0.0
Galnt5,0.0,0.02723,0.0,0.0,0.0,1.0,0.0,0.0
Ren1,0.0,0.02723,0.0,0.81618,0.0,1.0,0.0,0.0
Cwh43,0.0,0.02723,0.0,0.0,0.0,1.0,0.0,0.0
Adcy10,0.0,0.02723,0.0,0.81618,0.0,1.0,0.0,0.0
Naa11,0.0,0.02723,0.0,0.0,0.0,1.0,0.0,0.0
Prame,0.0,0.02723,0.0,0.81618,0.0,1.0,0.0,0.0
Ldlrad2,0.0,0.02723,0.0,0.39044,0.0,1.0,0.0,0.0
Sun5,0.0,0.02723,0.0,0.0,0.0,1.0,0.0,0.0
Cabp7,0.0,0.02723,0.0,0.0,0.0,1.0,0.0,0.0
Retnlb,0.0,1.0,0.0,0.0,0.0,0.00566,0.0,0.0
Abca16,0.0,1.0,0.0,0.0,0.0,0.00566,0.0,0.0
Smok2b,0.0,1.0,0.0,0.0,0.0,0.00566,0.0,0.0
1700030F18Rik,0.0,1.0,0.0,0.0,0.0,0.00566,0.0,0.0
Olfr68,0.0,1.0,0.0,0.0,0.0,0.00566,0.0,0.0
Lgi1,0.0,1.0,0.0,0.0,0.0,0.00566,0.0,0.0
4933402P03Rik,0.0,1.0,0.0,0.0,0.0,0.00566,0.0,0.0
4930447A16Rik,0.0,1.0,0.0,0.0,0.0,0.00566,0.0,0.0
Tbx19,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Ldoc1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Tas2r137,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Pdc,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Caps2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Olfr1366,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9530003J23Rik,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Ebf2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Ccnb1ip1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Olfr1445,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Ace3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Calml3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7420461P10Rik,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Gprin2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Lyzl4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Eddm3b,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Olfr100,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Smgc,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Calcoco2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Olfr370,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4932418E24Rik,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Hoxc8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Spock1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Trex2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Olfr114,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Tfap2e,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Nanos2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Tchhl1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Fam150a,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Fam46d,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
