atID,logFC,P-value,FDR,type,key
AT5G03985,2.12,0.000160389,0.037369344,+Pi_ph5/+Pi_pH6,wt
AT5G52320,1.90,0.000136533,0.03479543,+Pi_ph5/+Pi_pH6,wt
AT5G50335,1.88,0.00023387,0.045986859,+Pi_ph5/+Pi_pH6,wt
AT5G18910,1.80,3.55873E-05,0.015484248,+Pi_ph5/+Pi_pH6,wt
AT3G49570,1.64,0.000223339,0.045312986,+Pi_ph5/+Pi_pH6,wt
AT3G05400,1.59,0.000259555,0.049147255,+Pi_ph5/+Pi_pH6,wt
AT3G16530,1.58,0.000160931,0.037369344,+Pi_ph5/+Pi_pH6,wt
AT2G20520,1.52,9.91983E-06,0.006147286,+Pi_ph5/+Pi_pH6,wt
AT4G01830,1.52,3.75379E-05,0.015666313,+Pi_ph5/+Pi_pH6,wt
AT3G43930,1.37,0.000220594,0.045312986,+Pi_ph5/+Pi_pH6,wt
AT3G17600,1.33,5.25113E-05,0.019176005,+Pi_ph5/+Pi_pH6,wt
AT1G74830,1.31,1.62348E-06,0.001952947,+Pi_ph5/+Pi_pH6,wt
AT5G24570,1.30,0.000209054,0.044072606,+Pi_ph5/+Pi_pH6,wt
AT3G20460,1.29,1.82479E-06,0.002073168,+Pi_ph5/+Pi_pH6,wt
AT3G49960,1.26,4.14599E-08,0.000105982,+Pi_ph5/+Pi_pH6,wt
AT5G25460,1.21,1.83515E-14,1.87645E-10,+Pi_ph5/+Pi_pH6,wt
AT3G60280,1.20,1.50309E-05,0.008302433,+Pi_ph5/+Pi_pH6,wt
AT5G22410,1.20,9.89161E-06,0.006147286,+Pi_ph5/+Pi_pH6,wt
AT5G04960,1.17,2.80376E-06,0.002730326,+Pi_ph5/+Pi_pH6,wt
AT1G34510,1.16,9.84808E-05,0.029187428,+Pi_ph5/+Pi_pH6,wt
AT3G15700,1.14,6.44332E-05,0.022718249,+Pi_ph5/+Pi_pH6,wt
AT1G51840,1.14,0.000249788,0.048190232,+Pi_ph5/+Pi_pH6,wt
AT5G57530,1.12,8.3842E-05,0.027654321,+Pi_ph5/+Pi_pH6,wt
AT4G16370,1.11,5.31441E-06,0.004025176,+Pi_ph5/+Pi_pH6,wt
AT5G57540,1.11,5.60116E-05,0.020095406,+Pi_ph5/+Pi_pH6,wt
AT1G52660,1.11,5.53493E-06,0.004042475,+Pi_ph5/+Pi_pH6,wt
AT1G62422,1.09,0.000169895,0.038179602,+Pi_ph5/+Pi_pH6,wt
AT3G29780,1.07,0.000104613,0.030561944,+Pi_ph5/+Pi_pH6,wt
AT5G61650,1.06,0.000225724,0.045312986,+Pi_ph5/+Pi_pH6,wt
AT2G46860,1.06,0.000190427,0.041873373,+Pi_ph5/+Pi_pH6,wt
AT5G43230,1.04,0.000211204,0.044072606,+Pi_ph5/+Pi_pH6,wt
AT1G48930,1.01,4.66899E-06,0.003819238,+Pi_ph5/+Pi_pH6,wt
AT5G61350,1.00,2.44013E-05,0.011604795,+Pi_ph5/+Pi_pH6,wt
AT4G22080,1.00,2.96498E-05,0.013181248,+Pi_ph5/+Pi_pH6,wt
AT1G12950,1.00,8.13481E-07,0.00103973,+Pi_ph5/+Pi_pH6,wt
AT3G23870,0.99,4.87109E-05,0.018446982,+Pi_ph5/+Pi_pH6,wt
AT3G10710,0.99,4.38485E-05,0.016918907,+Pi_ph5/+Pi_pH6,wt
AT2G44110,0.97,2.06434E-05,0.010051348,+Pi_ph5/+Pi_pH6,wt
AT1G18420,0.97,7.05835E-05,0.023985607,+Pi_ph5/+Pi_pH6,wt
AT4G00680,0.97,0.000115879,0.031596458,+Pi_ph5/+Pi_pH6,wt
AT5G38700,0.96,0.000115661,0.031596458,+Pi_ph5/+Pi_pH6,wt
AT2G41380,0.96,8.89617E-05,0.028475863,+Pi_ph5/+Pi_pH6,wt
AT5G46870,0.93,0.000115121,0.031596458,+Pi_ph5/+Pi_pH6,wt
AT1G69240,0.91,1.07145E-05,0.006444477,+Pi_ph5/+Pi_pH6,wt
AT4G31250,0.91,2.60047E-05,0.011817688,+Pi_ph5/+Pi_pH6,wt
AT4G34580,0.90,9.52802E-05,0.029081785,+Pi_ph5/+Pi_pH6,wt
AT1G19650,0.90,0.000137821,0.03479543,+Pi_ph5/+Pi_pH6,wt
AT4G25820,0.89,0.000136798,0.03479543,+Pi_ph5/+Pi_pH6,wt
AT5G61550,0.83,0.000148514,0.036019418,+Pi_ph5/+Pi_pH6,wt
AT2G22470,0.83,1.54275E-05,0.008302433,+Pi_ph5/+Pi_pH6,wt
AT5G03640,0.83,9.78904E-05,0.029187428,+Pi_ph5/+Pi_pH6,wt
AT1G27200,0.81,5.09834E-05,0.018956558,+Pi_ph5/+Pi_pH6,wt
AT1G30870,0.80,0.000151475,0.036019418,+Pi_ph5/+Pi_pH6,wt
AT2G45220,0.80,0.000121959,0.03281669,+Pi_ph5/+Pi_pH6,wt
AT2G41970,0.75,0.000226011,0.045312986,+Pi_ph5/+Pi_pH6,wt
AT2G16980,0.75,9.44012E-05,0.029081785,+Pi_ph5/+Pi_pH6,wt
AT1G22530,0.75,0.00014305,0.035675229,+Pi_ph5/+Pi_pH6,wt
AT2G42840,-0.77,4.58866E-06,0.003819238,+Pi_ph5/+Pi_pH6,wt
AT4G05390,-0.82,0.000201488,0.043372873,+Pi_ph5/+Pi_pH6,wt
AT2G39200,-0.91,1.81453E-05,0.009276777,+Pi_ph5/+Pi_pH6,wt
AT5G11920,-0.98,0.000150176,0.036019418,+Pi_ph5/+Pi_pH6,wt
AT1G30990,-1.04,0.000162634,0.037369344,+Pi_ph5/+Pi_pH6,wt
AT1G78860,-1.07,0.000111341,0.031596458,+Pi_ph5/+Pi_pH6,wt
AT2G19060,-1.18,0.000147152,0.036019418,+Pi_ph5/+Pi_pH6,wt
AT5G49780,-1.18,0.000182387,0.040541383,+Pi_ph5/+Pi_pH6,wt
AT5G13400,-1.18,0.000248573,0.048190232,+Pi_ph5/+Pi_pH6,wt
AT4G25100,-1.26,5.20853E-06,0.004025176,+Pi_ph5/+Pi_pH6,wt
AT2G44370,-1.29,4.103E-05,0.01631295,+Pi_ph5/+Pi_pH6,wt
AT4G14630,-1.33,3.39366E-06,0.003154559,+Pi_ph5/+Pi_pH6,wt
AT4G10510,-1.34,4.06788E-05,0.01631295,+Pi_ph5/+Pi_pH6,wt
AT3G25190,-1.39,3.80599E-06,0.003384025,+Pi_ph5/+Pi_pH6,wt
AT5G43520,-1.44,2.25774E-07,0.000329791,+Pi_ph5/+Pi_pH6,wt
AT5G59680,-1.45,2.59395E-05,0.011817688,+Pi_ph5/+Pi_pH6,wt
AT5G50200,-1.46,8.34874E-08,0.000170732,+Pi_ph5/+Pi_pH6,wt
AT4G25310,-1.49,9.25221E-06,0.006103475,+Pi_ph5/+Pi_pH6,wt
AT5G22555,-1.55,0.000233262,0.045986859,+Pi_ph5/+Pi_pH6,wt
AT5G41290,-1.67,1.9864E-06,0.002137996,+Pi_ph5/+Pi_pH6,wt
AT4G27850,-1.68,0.000111237,0.031596458,+Pi_ph5/+Pi_pH6,wt
AT1G05650,-1.70,1.48625E-05,0.008302433,+Pi_ph5/+Pi_pH6,wt
AT1G21210,-2.05,6.8045E-06,0.004798348,+Pi_ph5/+Pi_pH6,wt
AT5G37450,-2.06,8.64364E-06,0.00589208,+Pi_ph5/+Pi_pH6,wt
AT5G41300,-2.08,5.75428E-07,0.0007845,+Pi_ph5/+Pi_pH6,wt
AT3G60470,-2.19,7.15463E-05,0.023985607,+Pi_ph5/+Pi_pH6,wt
AT2G45360,-2.20,6.4645E-08,0.000146888,+Pi_ph5/+Pi_pH6,wt
AT2G02580,-2.21,0.000135941,0.03479543,+Pi_ph5/+Pi_pH6,wt
AT3G60270,-2.29,8.37419E-10,3.42504E-06,+Pi_ph5/+Pi_pH6,wt
AT1G78230,-2.33,1.63631E-05,0.008580114,+Pi_ph5/+Pi_pH6,wt
AT2G25410,-2.39,2.34102E-06,0.002393697,+Pi_ph5/+Pi_pH6,wt
AT4G07820,-2.62,4.14804E-05,0.01631295,+Pi_ph5/+Pi_pH6,wt
AT5G48430,-2.70,1.25448E-14,1.87645E-10,+Pi_ph5/+Pi_pH6,wt
AT4G19750,-2.94,1.52961E-05,0.008302433,+Pi_ph5/+Pi_pH6,wt
AT2G21900,-2.96,9.14092E-05,0.028758747,+Pi_ph5/+Pi_pH6,wt
AT3G46190,-2.97,0.000196433,0.042734631,+Pi_ph5/+Pi_pH6,wt
AT1G33840,-2.98,3.99691E-08,0.000105982,+Pi_ph5/+Pi_pH6,wt
AT5G07760,-3.03,0.000252755,0.048306956,+Pi_ph5/+Pi_pH6,wt
AT1G08090,-3.43,4.26863E-09,1.45489E-05,+Pi_ph5/+Pi_pH6,wt
AT5G33355,-3.62,2.89222E-11,1.47865E-07,+Pi_ph5/+Pi_pH6,wt
AT5G23990,-3.69,6.77843E-12,4.62063E-08,+Pi_ph5/+Pi_pH6,wt
AT3G03670,-4.13,1.82593E-07,0.000311169,+Pi_ph5/+Pi_pH6,wt
AT4G19760,-4.49,1.90113E-05,0.009482478,+Pi_ph5/+Pi_pH6,wt
AT4G23170,-6.57,1.3948E-07,0.000259306,+Pi_ph5/+Pi_pH6,wt
AT3G05727,6.85,0.000626673,0.031487628,-Pi_ph5/+Pi_pH6,wt
AT5G07570,5.03,1.18139E-09,4.8319E-07,-Pi_ph5/+Pi_pH6,wt
AT5G52390,4.51,1.35458E-05,0.001560407,-Pi_ph5/+Pi_pH6,wt
AT1G60830,3.92,3.29544E-07,6.87671E-05,-Pi_ph5/+Pi_pH6,wt
AT1G23730,3.58,3.78908E-07,7.67195E-05,-Pi_ph5/+Pi_pH6,wt
AT5G07560,3.30,5.29225E-05,0.004875065,-Pi_ph5/+Pi_pH6,wt
AT3G17790,3.18,3.25315E-20,1.33054E-16,-Pi_ph5/+Pi_pH6,wt
AT5G20150,3.13,7.37101E-19,2.51229E-15,-Pi_ph5/+Pi_pH6,wt
AT5G06865,3.05,6.95791E-05,0.005760695,-Pi_ph5/+Pi_pH6,wt
AT5G03985,2.88,7.01082E-08,1.77002E-05,-Pi_ph5/+Pi_pH6,wt
AT4G13420,2.75,4.40416E-10,1.83806E-07,-Pi_ph5/+Pi_pH6,wt
AT5G52320,2.56,1.01025E-07,2.40228E-05,-Pi_ph5/+Pi_pH6,wt
AT1G44130,2.52,0.000100326,0.00765679,-Pi_ph5/+Pi_pH6,wt
AT1G63390,2.45,0.000634543,0.031727142,-Pi_ph5/+Pi_pH6,wt
AT2G43510,2.45,9.41139E-08,2.31647E-05,-Pi_ph5/+Pi_pH6,wt
AT3G29670,2.39,0.00025769,0.016315059,-Pi_ph5/+Pi_pH6,wt
AT1G76470,2.37,2.64782E-06,0.000410212,-Pi_ph5/+Pi_pH6,wt
AT1G51840,2.34,1.16775E-13,1.03828E-10,-Pi_ph5/+Pi_pH6,wt
AT3G47420,2.33,5.34333E-14,5.20339E-11,-Pi_ph5/+Pi_pH6,wt
AT4G28040,2.29,6.34913E-08,1.66461E-05,-Pi_ph5/+Pi_pH6,wt
AT1G08430,2.27,1.19572E-17,2.71694E-14,-Pi_ph5/+Pi_pH6,wt
AT3G16530,2.21,1.75863E-07,3.95209E-05,-Pi_ph5/+Pi_pH6,wt
AT4G30270,2.12,0.000926782,0.041562915,-Pi_ph5/+Pi_pH6,wt
AT2G11215,2.06,0.00016596,0.011504717,-Pi_ph5/+Pi_pH6,wt
AT4G23700,2.05,2.89487E-05,0.002974884,-Pi_ph5/+Pi_pH6,wt
AT1G71140,2.00,0.001089426,0.046804131,-Pi_ph5/+Pi_pH6,wt
AT3G01970,1.90,1.1223E-05,0.001358049,-Pi_ph5/+Pi_pH6,wt
AT1G76210,1.89,0.00047137,0.025705395,-Pi_ph5/+Pi_pH6,wt
AT2G29000,1.88,1.50273E-05,0.001707273,-Pi_ph5/+Pi_pH6,wt
AT1G69480,1.85,5.32752E-07,0.00010376,-Pi_ph5/+Pi_pH6,wt
AT2G26740,1.83,0.000175396,0.012036404,-Pi_ph5/+Pi_pH6,wt
AT5G25460,1.80,2.96552E-29,6.06449E-25,-Pi_ph5/+Pi_pH6,wt
AT3G48580,1.72,0.001140389,0.048788607,-Pi_ph5/+Pi_pH6,wt
AT4G01830,1.71,3.5196E-06,0.000525371,-Pi_ph5/+Pi_pH6,wt
AT1G61550,1.71,0.000598119,0.030426707,-Pi_ph5/+Pi_pH6,wt
AT5G03545,1.67,3.25144E-09,1.14641E-06,-Pi_ph5/+Pi_pH6,wt
AT3G02040,1.65,2.99107E-15,3.39819E-12,-Pi_ph5/+Pi_pH6,wt
AT2G03360,1.64,0.000508419,0.027289131,-Pi_ph5/+Pi_pH6,wt
AT1G14520,1.64,0.000163704,0.011425756,-Pi_ph5/+Pi_pH6,wt
AT4G38420,1.63,0.000403847,0.02319849,-Pi_ph5/+Pi_pH6,wt
AT3G61280,1.56,0.000910425,0.041187516,-Pi_ph5/+Pi_pH6,wt
AT2G41380,1.55,3.1275E-10,1.33245E-07,-Pi_ph5/+Pi_pH6,wt
AT5G06860,1.54,6.59489E-06,0.000899104,-Pi_ph5/+Pi_pH6,wt
AT2G38940,1.51,1.90123E-11,1.08E-08,-Pi_ph5/+Pi_pH6,wt
AT3G49960,1.51,7.33312E-11,3.48749E-08,-Pi_ph5/+Pi_pH6,wt
AT4G31248,1.50,0.000152562,0.010721293,-Pi_ph5/+Pi_pH6,wt
AT3G56620,1.50,0.001060951,0.04575509,-Pi_ph5/+Pi_pH6,wt
AT5G14780,1.49,5.08775E-06,0.000732708,-Pi_ph5/+Pi_pH6,wt
AT4G04990,1.49,9.50192E-06,0.001177321,-Pi_ph5/+Pi_pH6,wt
AT3G56080,1.49,9.33957E-06,0.001171743,-Pi_ph5/+Pi_pH6,wt
AT1G68620,1.48,0.000910105,0.041187516,-Pi_ph5/+Pi_pH6,wt
AT1G05340,1.46,0.000766552,0.036711894,-Pi_ph5/+Pi_pH6,wt
AT3G17600,1.44,1.1338E-05,0.001363893,-Pi_ph5/+Pi_pH6,wt
AT1G23052,1.42,0.000208652,0.014004187,-Pi_ph5/+Pi_pH6,wt
AT5G20790,1.41,0.000922513,0.041462379,-Pi_ph5/+Pi_pH6,wt
AT3G29780,1.40,3.78615E-07,7.67195E-05,-Pi_ph5/+Pi_pH6,wt
AT4G14860,1.39,0.000724967,0.035215119,-Pi_ph5/+Pi_pH6,wt
AT4G08290,1.36,0.000237631,0.015329846,-Pi_ph5/+Pi_pH6,wt
AT3G29410,1.35,0.000395391,0.022841113,-Pi_ph5/+Pi_pH6,wt
AT2G20520,1.34,9.11568E-05,0.007195136,-Pi_ph5/+Pi_pH6,wt
AT2G21510,1.34,5.60694E-05,0.005059532,-Pi_ph5/+Pi_pH6,wt
AT5G38700,1.33,6.93219E-08,1.77002E-05,-Pi_ph5/+Pi_pH6,wt
AT1G54940,1.33,1.20782E-05,0.001411424,-Pi_ph5/+Pi_pH6,wt
AT2G43590,1.32,0.00010307,0.00783563,-Pi_ph5/+Pi_pH6,wt
AT2G39690,1.32,0.001152899,0.049118745,-Pi_ph5/+Pi_pH6,wt
AT5G38200,1.31,1.99521E-05,0.002170318,-Pi_ph5/+Pi_pH6,wt
AT4G08535,1.31,0.000110277,0.008252373,-Pi_ph5/+Pi_pH6,wt
AT4G00130,1.29,0.001025698,0.044865653,-Pi_ph5/+Pi_pH6,wt
AT1G63730,1.28,0.001006032,0.044285448,-Pi_ph5/+Pi_pH6,wt
AT2G30140,1.27,0.000669333,0.033222941,-Pi_ph5/+Pi_pH6,wt
AT3G28345,1.25,4.50096E-05,0.004241684,-Pi_ph5/+Pi_pH6,wt
AT1G22430,1.24,0.000117713,0.00859722,-Pi_ph5/+Pi_pH6,wt
AT5G48010,1.24,0.000998438,0.044099466,-Pi_ph5/+Pi_pH6,wt
AT3G47740,1.24,5.78874E-05,0.005080674,-Pi_ph5/+Pi_pH6,wt
AT1G23540,1.23,0.000867548,0.040229854,-Pi_ph5/+Pi_pH6,wt
AT5G22410,1.22,7.36622E-06,0.000971866,-Pi_ph5/+Pi_pH6,wt
AT1G74830,1.20,1.1657E-05,0.001385968,-Pi_ph5/+Pi_pH6,wt
AT5G04960,1.20,1.84008E-06,0.000305931,-Pi_ph5/+Pi_pH6,wt
AT5G03860,1.19,7.431E-05,0.006102972,-Pi_ph5/+Pi_pH6,wt
AT1G79860,1.19,4.99622E-05,0.004686821,-Pi_ph5/+Pi_pH6,wt
AT1G12950,1.17,6.55525E-09,2.23425E-06,-Pi_ph5/+Pi_pH6,wt
AT1G05000,1.17,4.01056E-11,2.10297E-08,-Pi_ph5/+Pi_pH6,wt
AT4G28850,1.16,0.000110973,0.008252373,-Pi_ph5/+Pi_pH6,wt
AT2G47530,1.16,0.000458383,0.025131167,-Pi_ph5/+Pi_pH6,wt
AT1G72860,1.16,8.17895E-05,0.006585023,-Pi_ph5/+Pi_pH6,wt
AT3G20460,1.16,1.95308E-05,0.002135854,-Pi_ph5/+Pi_pH6,wt
AT1G73010,1.15,0.000122886,0.008911395,-Pi_ph5/+Pi_pH6,wt
AT5G57540,1.13,4.1117E-05,0.003929171,-Pi_ph5/+Pi_pH6,wt
AT1G51830,1.12,7.50184E-08,1.87089E-05,-Pi_ph5/+Pi_pH6,wt
AT5G43230,1.11,6.79569E-05,0.00573535,-Pi_ph5/+Pi_pH6,wt
AT5G40860,1.11,0.000713124,0.034805212,-Pi_ph5/+Pi_pH6,wt
AT2G46860,1.11,9.30457E-05,0.00726878,-Pi_ph5/+Pi_pH6,wt
AT1G54970,1.11,0.000505668,0.02721293,-Pi_ph5/+Pi_pH6,wt
AT5G57530,1.10,0.000115849,0.008491463,-Pi_ph5/+Pi_pH6,wt
AT1G64930,1.08,0.00018292,0.01251076,-Pi_ph5/+Pi_pH6,wt
AT2G37670,1.08,0.000194619,0.013135165,-Pi_ph5/+Pi_pH6,wt
AT5G52790,1.07,0.000242798,0.015467956,-Pi_ph5/+Pi_pH6,wt
AT1G34510,1.07,0.00034065,0.020429037,-Pi_ph5/+Pi_pH6,wt
AT3G05630,1.06,2.34598E-05,0.002485762,-Pi_ph5/+Pi_pH6,wt
AT1G68330,1.06,0.000312549,0.019022678,-Pi_ph5/+Pi_pH6,wt
AT3G51750,1.05,0.000427947,0.024042634,-Pi_ph5/+Pi_pH6,wt
AT4G15765,1.05,0.000151168,0.010659953,-Pi_ph5/+Pi_pH6,wt
AT4G22080,1.04,1.54459E-05,0.001735541,-Pi_ph5/+Pi_pH6,wt
AT1G77450,1.04,0.001107874,0.047496886,-Pi_ph5/+Pi_pH6,wt
AT3G23870,1.03,2.80415E-05,0.002896208,-Pi_ph5/+Pi_pH6,wt
AT1G62422,1.02,0.000434839,0.024164282,-Pi_ph5/+Pi_pH6,wt
AT3G49120,1.01,0.000115522,0.008491463,-Pi_ph5/+Pi_pH6,wt
AT1G59725,1.01,0.000837469,0.039370688,-Pi_ph5/+Pi_pH6,wt
AT1G52660,1.00,3.99473E-05,0.003835313,-Pi_ph5/+Pi_pH6,wt
AT1G48930,0.99,5.9746E-06,0.000842625,-Pi_ph5/+Pi_pH6,wt
AT3G54870,0.99,0.000340151,0.020429037,-Pi_ph5/+Pi_pH6,wt
AT5G08230,0.98,0.000559925,0.028937442,-Pi_ph5/+Pi_pH6,wt
AT1G18420,0.98,5.73991E-05,0.005059532,-Pi_ph5/+Pi_pH6,wt
AT3G10710,0.98,5.73322E-05,0.005059532,-Pi_ph5/+Pi_pH6,wt
AT3G21180,0.97,0.000356121,0.021232297,-Pi_ph5/+Pi_pH6,wt
AT3G15700,0.97,0.000701977,0.034425496,-Pi_ph5/+Pi_pH6,wt
AT1G19650,0.96,4.3246E-05,0.00409436,-Pi_ph5/+Pi_pH6,wt
AT1G70460,0.96,0.00022922,0.014881112,-Pi_ph5/+Pi_pH6,wt
