atID,logFC,P-value,FDR,type
AT2G18970,2.25,7.51018E-07,1.56717E-05,++Fe
AT5G07285,2.25,1.88926E-05,0.000277354,++Fe
AT5G13080,2.24,2.13371E-10,9.14769E-09,++Fe
AT1G17180,2.24,7.31177E-09,2.34734E-07,++Fe
AT1G21680,2.24,1.88929E-09,6.79016E-08,++Fe
AT3G15635,2.23,0.000555882,0.004878876,++Fe
AT5G25340,2.23,0.00052198,0.004641079,++Fe
AT2G19190,2.23,3.14711E-05,0.000432225,++Fe
AT5G61820,2.23,6.81663E-16,8.29762E-14,++Fe
AT4G30270,2.22,0.000543502,0.004787338,++Fe
AT1G69480,2.22,9.5997E-10,3.66942E-08,++Fe
AT4G36880,2.22,4.13232E-11,2.01685E-09,++Fe
AT4G37370,2.22,0.006666638,0.035971703,++Fe
AT3G03870,2.21,3.72923E-13,2.67589E-11,++Fe
AT1G19660,2.21,1.09479E-17,1.74911E-15,++Fe
AT1G62580,2.21,0.00439307,0.026253153,++Fe
AT2G46660,2.20,0.000136277,0.001517078,++Fe
AT1G18980,2.20,1.23781E-19,2.6368E-17,++Fe
AT3G53980,2.20,2.54779E-13,1.93689E-11,++Fe
AT2G27389,2.18,9.22345E-11,4.16379E-09,++Fe
AT1G68450,2.18,1.01812E-10,4.54597E-09,++Fe
AT2G25900,2.17,1.10126E-06,2.21661E-05,++Fe
AT5G09990,2.17,1.25881E-05,0.000193845,++Fe
AT1G04330,2.17,5.1715E-06,8.90963E-05,++Fe
AT5G38800,2.16,4.01314E-05,0.000530845,++Fe
AT1G18970,2.16,4.62147E-13,3.27198E-11,++Fe
AT5G05735,2.16,5.24764E-05,0.000671554,++Fe
AT2G44578,2.15,7.53643E-05,0.000915745,++Fe
AT2G31082,2.15,3.28044E-05,0.000446577,++Fe
AT3G01865,2.14,2.62004E-08,7.44165E-07,++Fe
AT3G21520,2.14,0.001208215,0.009237882,++Fe
AT5G03860,2.13,6.2741E-13,4.33436E-11,++Fe
AT1G63580,2.13,8.69156E-08,2.22178E-06,++Fe
AT2G29480,2.13,4.11251E-12,2.45192E-10,++Fe
AT5G15960,2.13,3.49012E-05,0.000469942,++Fe
AT3G15450,2.13,0.001098247,0.008550205,++Fe
AT1G11300,2.13,3.66947E-14,3.29126E-12,++Fe
AT5G48010,2.13,3.63417E-08,1.01114E-06,++Fe
AT3G45638,2.13,0.000375707,0.003532514,++Fe
AT5G59080,2.12,2.52494E-08,7.2318E-07,++Fe
AT1G08430,2.12,1.08862E-15,1.27213E-13,++Fe
AT2G15490,2.12,4.75454E-11,2.29859E-09,++Fe
AT1G70440,2.12,1.98153E-07,4.64174E-06,++Fe
AT1G14455,2.12,3.2577E-05,0.000445023,++Fe
AT2G08340,2.12,0.002738235,0.018222226,++Fe
AT3G01290,2.12,1.48962E-15,1.69237E-13,++Fe
AT1G28260,2.12,1.14301E-10,5.05944E-09,++Fe
AT2G22330,2.12,6.89665E-17,9.40243E-15,++Fe
AT1G49900,2.11,0.00021255,0.002201953,++Fe
AT2G08915,2.11,0.000430779,0.003961079,++Fe
AT4G16190,2.11,1.68615E-15,1.88425E-13,++Fe
AT1G44090,2.11,0.002322079,0.015983346,++Fe
AT2G26740,2.11,1.79427E-05,0.000264358,++Fe
AT2G40460,2.10,9.02465E-07,1.8623E-05,++Fe
AT4G20000,2.10,4.75862E-17,6.53113E-15,++Fe
AT5G44565,2.10,0.00018087,0.001923449,++Fe
AT5G22270,2.09,1.63971E-05,0.000245118,++Fe
AT3G16470,2.09,1.94254E-13,1.52203E-11,++Fe
AT2G29450,2.09,1.69871E-14,1.60477E-12,++Fe
AT1G64370,2.09,2.46491E-15,2.65302E-13,++Fe
AT3G03105,2.08,4.54961E-06,7.8981E-05,++Fe
AT4G04840,2.08,2.21727E-17,3.30972E-15,++Fe
AT5G55970,2.08,9.43366E-12,5.13081E-10,++Fe
AT1G60470,2.08,0.005174166,0.029639128,++Fe
AT4G13250,2.07,1.07939E-12,7.16672E-11,++Fe
AT2G13360,2.06,4.66926E-06,8.08521E-05,++Fe
AT1G70170,2.06,4.96121E-20,1.1273E-17,++Fe
AT1G76590,2.06,7.08083E-06,0.0001172,++Fe
AT1G28480,2.05,1.8999E-06,3.60082E-05,++Fe
AT3G09145,2.04,0.000215729,0.002232619,++Fe
AT4G02360,2.04,2.77024E-12,1.68605E-10,++Fe
AT1G55335,2.04,0.002838545,0.01877976,++Fe
AT3G01990,2.04,3.16373E-07,7.07858E-06,++Fe
AT1G73000,2.04,0.003171012,0.020488844,++Fe
AT1G03790,2.03,1.67829E-05,0.000250153,++Fe
AT4G23670,2.03,6.55047E-06,0.000109724,++Fe
AT5G59220,2.03,0.001056353,0.008295863,++Fe
AT3G63380,2.03,3.78378E-20,8.79299E-18,++Fe
AT3G59940,2.03,8.43093E-09,2.67582E-07,++Fe
AT1G03660,2.02,2.16372E-05,0.000312265,++Fe
AT1G64950,2.02,2.74151E-18,4.75118E-16,++Fe
AT3G04300,2.02,1.18991E-05,0.000184206,++Fe
AT5G23830,2.01,5.94137E-11,2.81253E-09,++Fe
AT3G28210,2.01,1.8885E-06,3.58254E-05,++Fe
AT1G47130,2.01,0.009806727,0.048208552,++Fe
AT1G20030,2.01,2.60174E-08,7.39994E-07,++Fe
AT3G13950,2.00,0.000179735,0.00191337,++Fe
AT5G13370,2.00,0.000159181,0.001730595,++Fe
AT1G61810,2.00,0.000376059,0.003534196,++Fe
AT2G40200,2.00,1.853E-08,5.53194E-07,++Fe
AT3G53200,2.00,0.000302135,0.00294643,++Fe
AT3G48320,2.00,0.003482169,0.022046552,++Fe
AT2G46790,2.00,1.11007E-05,0.00017329,++Fe
AT5G47050,2.00,2.50259E-22,7.20816E-20,++Fe
AT2G15960,2.00,0.00756874,0.03964038,++Fe
AT5G57660,2.00,1.05354E-22,3.16837E-20,++Fe
AT3G07805,2.00,0.00083448,0.006870011,++Fe
AT4G25780,1.99,0.000185859,0.001964248,++Fe
AT1G13090,1.99,1.4493E-09,5.34022E-08,++Fe
AT1G14120,1.98,1.73338E-07,4.10748E-06,++Fe
AT1G76600,1.98,0.000113438,0.001293548,++Fe
AT1G78380,1.98,7.04883E-19,1.35989E-16,++Fe
AT1G74458,1.98,1.4068E-07,3.41675E-06,++Fe
AT3G09390,1.98,0.001172396,0.00900996,++Fe
AT3G28917,1.98,0.005259141,0.029966408,++Fe
AT1G67810,1.97,1.58899E-09,5.79231E-08,++Fe
AT5G59895,1.97,0.000476865,0.004330217,++Fe
AT4G28420,1.97,4.53632E-05,0.000591932,++Fe
AT5G53990,1.97,3.76622E-22,1.05506E-19,++Fe
AT5G02020,1.97,0.001206989,0.009237625,++Fe
AT1G28100,1.96,3.48808E-20,8.199E-18,++Fe
AT2G22540,1.96,2.13077E-15,2.33018E-13,++Fe
AT1G51820,1.96,3.44377E-05,0.000465543,++Fe
AT3G05770,1.96,1.48298E-07,3.57207E-06,++Fe
AT3G09520,1.96,0.000220898,0.002279021,++Fe
AT1G75785,1.96,0.001055982,0.008295863,++Fe
AT1G02310,1.96,1.05777E-06,2.13961E-05,++Fe
AT1G48700,1.96,0.001483338,0.010966831,++Fe
AT2G34610,1.95,3.05419E-09,1.05504E-07,++Fe
AT1G49500,1.95,1.93049E-17,2.94616E-15,++Fe
AT3G10815,1.95,2.45605E-08,7.06417E-07,++Fe
AT4G37310,1.95,8.15464E-08,2.09764E-06,++Fe
AT1G28330,1.95,6.74794E-06,0.000112374,++Fe
AT2G37640,1.94,8.90727E-09,2.80236E-07,++Fe
AT3G46700,1.94,6.69048E-10,2.62611E-08,++Fe
AT4G37220,1.94,0.004882307,0.028397833,++Fe
AT5G51390,1.94,8.23506E-06,0.000133233,++Fe
AT5G06320,1.94,4.36755E-10,1.76167E-08,++Fe
AT3G02495,1.94,0.002369823,0.016238267,++Fe
AT1G66760,1.94,4.41079E-09,1.47146E-07,++Fe
AT1G78780,1.94,3.92544E-14,3.47512E-12,++Fe
AT2G40000,1.93,7.34486E-10,2.861E-08,++Fe
AT4G31710,1.93,9.3835E-05,0.001107193,++Fe
AT3G44300,1.93,7.01762E-13,4.78368E-11,++Fe
AT2G34420,1.92,7.58129E-05,0.000920649,++Fe
AT5G14070,1.92,0.000242753,0.002457569,++Fe
AT5G00965,1.91,0.003480335,0.02204176,++Fe
AT2G32660,1.91,2.58865E-08,7.37296E-07,++Fe
AT4G15550,1.91,1.85725E-13,1.46644E-11,++Fe
AT3G52748,1.90,3.83212E-14,3.40726E-12,++Fe
AT1G78410,1.90,0.0001185,0.001344802,++Fe
AT4G26120,1.90,1.70312E-09,6.16438E-08,++Fe
AT5G51790,1.90,7.46807E-08,1.94056E-06,++Fe
AT4G37030,1.90,0.000207613,0.002159559,++Fe
AT4G39940,1.90,7.79001E-20,1.72822E-17,++Fe
AT4G23680,1.89,7.79511E-05,0.000943813,++Fe
AT4G34510,1.89,3.33997E-05,0.000453418,++Fe
AT5G24090,1.89,2.8315E-11,1.41575E-09,++Fe
AT4G01870,1.89,1.03525E-14,1.00336E-12,++Fe
AT1G18570,1.89,2.54212E-07,5.83462E-06,++Fe
AT1G21410,1.88,3.07051E-07,6.89263E-06,++Fe
AT1G80180,1.88,2.22791E-08,6.49941E-07,++Fe
AT2G45560,1.88,8.21227E-09,2.6159E-07,++Fe
AT1G44180,1.87,1.6149E-05,0.00024194,++Fe
AT3G61890,1.87,7.4976E-05,0.000913742,++Fe
AT5G60890,1.87,3.60709E-10,1.48122E-08,++Fe
AT5G05730,1.87,6.19838E-18,1.01406E-15,++Fe
AT2G18680,1.87,0.001327081,0.009977501,++Fe
AT5G50335,1.87,0.00026525,0.002644744,++Fe
AT4G08015,1.87,0.000805772,0.00669839,++Fe
AT1G63245,1.86,8.19438E-12,4.54133E-10,++Fe
AT3G24310,1.86,7.8953E-08,2.0412E-06,++Fe
AT1G77520,1.86,0.000241178,0.002444052,++Fe
AT1G52857,1.86,2.82406E-06,5.17033E-05,++Fe
AT1G07847,1.86,0.006283193,0.034285822,++Fe
AT1G73290,1.86,0.000431398,0.00396471,++Fe
AT1G76080,1.85,6.39446E-06,0.00010745,++Fe
AT2G29320,1.85,8.16608E-09,2.60525E-07,++Fe
AT3G49130,1.85,0.007516254,0.03944249,++Fe
AT2G38860,1.84,1.38725E-30,8.10549E-28,++Fe
AT5G42580,1.84,4.20004E-06,7.34737E-05,++Fe
AT4G37050,1.84,0.000983561,0.007823478,++Fe
AT4G33610,1.84,0.005197967,0.029725513,++Fe
AT1G62975,1.84,5.77719E-10,2.27637E-08,++Fe
AT3G44880,1.84,1.66828E-06,3.21247E-05,++Fe
AT2G23680,1.84,8.46356E-08,2.17164E-06,++Fe
AT1G65970,1.84,0.000166102,0.001791556,++Fe
AT2G25200,1.83,0.000323594,0.003127361,++Fe
AT5G48180,1.83,7.37666E-13,5.01172E-11,++Fe
AT1G56300,1.83,9.34298E-18,1.51638E-15,++Fe
AT1G35260,1.83,1.01996E-17,1.64237E-15,++Fe
AT3G62730,1.83,1.41672E-07,3.43269E-06,++Fe
AT4G29110,1.83,1.51957E-07,3.65457E-06,++Fe
AT4G10510,1.83,3.65729E-09,1.23622E-07,++Fe
AT3G12320,1.83,0.000113455,0.001293548,++Fe
AT4G21840,1.82,9.84282E-08,2.46976E-06,++Fe
AT5G57640,1.82,0.005844251,0.032485714,++Fe
AT5G08240,1.82,3.99111E-18,6.7453E-16,++Fe
AT4G20835,1.82,0.00019464,0.002040078,++Fe
AT3G02150,1.82,0.000939455,0.007563723,++Fe
AT5G10230,1.82,1.66863E-07,3.96323E-06,++Fe
AT2G03980,1.82,3.33052E-07,7.39921E-06,++Fe
AT1G15010,1.81,0.003458627,0.021931451,++Fe
AT5G15970,1.81,3.75508E-12,2.24536E-10,++Fe
AT1G22480,1.81,0.007164572,0.037927903,++Fe
AT5G01640,1.81,0.000103611,0.001204285,++Fe
AT3G22275,1.81,0.00075997,0.006361599,++Fe
AT1G45145,1.81,4.31886E-13,3.07738E-11,++Fe
AT1G17170,1.81,1.93165E-09,6.91809E-08,++Fe
AT5G47850,1.80,0.003214782,0.020699713,++Fe
AT1G35180,1.80,0.002827736,0.018723465,++Fe
AT4G25400,1.80,2.16538E-15,2.35542E-13,++Fe
AT4G17500,1.80,6.22946E-11,2.92184E-09,++Fe
AT1G55775,1.80,0.000849473,0.006973798,++Fe
AT1G03700,1.80,0.0002228,0.002293035,++Fe
AT1G30700,1.80,2.16281E-16,2.78172E-14,++Fe
AT5G13330,1.79,1.92069E-11,9.91873E-10,++Fe
AT3G08645,1.79,0.006336528,0.034527577,++Fe
AT4G15230,1.79,1.64439E-06,3.17243E-05,++Fe
AT1G64660,1.79,3.09757E-07,6.94576E-06,++Fe
AT1G67195,1.79,2.94878E-10,1.22566E-08,++Fe
AT4G17215,1.79,6.85016E-11,3.17655E-09,++Fe
AT3G26210,1.78,5.99978E-16,7.48144E-14,++Fe
AT3G05880,1.78,7.33912E-12,4.146E-10,++Fe
AT3G14660,1.78,2.70067E-07,6.15019E-06,++Fe
AT2G18700,1.78,2.63389E-06,4.87008E-05,++Fe
AT2G18950,1.78,2.32279E-19,4.65696E-17,++Fe
AT4G37150,1.77,5.20138E-09,1.7101E-07,++Fe
AT4G34135,1.77,1.59896E-08,4.81573E-07,++Fe
AT5G06740,1.77,4.7128E-15,4.89223E-13,++Fe
AT4G11320,1.76,1.06422E-06,2.15003E-05,++Fe
AT1G14520,1.76,4.93553E-05,0.000637195,++Fe
AT5G65280,1.76,5.78525E-11,2.74497E-09,++Fe
AT3G55090,1.76,4.19713E-06,7.34737E-05,++Fe
AT1G10220,1.76,0.0002687,0.002676532,++Fe
AT5G26290,1.76,3.25447E-15,3.46635E-13,++Fe
AT1G76680,1.76,2.66377E-05,0.000373879,++Fe
AT3G55890,1.75,1.47256E-08,4.46131E-07,++Fe
AT4G27700,1.75,5.03825E-07,1.08227E-05,++Fe
AT4G13920,1.75,1.48815E-05,0.000224596,++Fe
AT1G72140,1.74,0.000252225,0.002535892,++Fe
AT3G54150,1.74,9.38293E-08,2.38066E-06,++Fe
AT3G29240,1.74,2.35494E-07,5.44164E-06,++Fe
AT4G31500,1.74,6.62061E-16,8.10728E-14,++Fe
AT3G50280,1.74,2.45882E-12,1.51753E-10,++Fe
AT3G27884,1.73,3.64137E-10,1.48932E-08,++Fe
AT5G54300,1.73,1.97118E-05,0.000287874,++Fe
AT3G23240,1.73,0.001338086,0.010045993,++Fe
AT2G02060,1.73,1.40092E-05,0.00021332,++Fe
AT3G50260,1.73,8.57413E-11,3.87923E-09,++Fe
AT4G28940,1.73,6.3024E-07,1.33559E-05,++Fe
AT3G48100,1.73,3.31302E-14,3.02461E-12,++Fe
AT3G22060,1.73,2.51531E-07,5.78557E-06,++Fe
AT1G08920,1.73,5.71202E-14,4.92873E-12,++Fe
AT3G26510,1.72,3.52434E-06,6.30007E-05,++Fe
AT1G18382,1.71,0.007416902,0.039011224,++Fe
AT1G59590,1.71,3.66557E-10,1.49623E-08,++Fe
AT4G09225,1.71,5.78766E-05,0.00073021,++Fe
AT3G10020,1.71,0.001512196,0.011143931,++Fe
AT4G29270,1.71,4.04198E-09,1.35951E-07,++Fe
AT1G54160,1.71,0.000299145,0.002924246,++Fe
AT4G31248,1.71,1.3733E-05,0.000209426,++Fe
AT2G08750,1.70,0.00691484,0.036959872,++Fe
AT2G38790,1.70,0.000794128,0.006612347,++Fe
AT2G30615,1.70,0.00124702,0.009483658,++Fe
AT3G16400,1.70,4.83754E-11,2.32808E-09,++Fe
AT3G22460,1.70,6.70401E-06,0.000111835,++Fe
AT2G25735,1.70,4.6374E-05,0.000603659,++Fe
AT1G30040,1.69,0.001953102,0.013806063,++Fe
AT1G10480,1.69,1.19189E-10,5.26439E-09,++Fe
AT3G45700,1.69,2.10849E-05,0.000305588,++Fe
AT4G29930,1.69,1.6114E-06,3.11761E-05,++Fe
AT2G44480,1.69,3.24559E-05,0.000443962,++Fe
AT3G25820,1.69,9.8602E-05,0.001157526,++Fe
AT1G76480,1.69,0.000200071,0.002088544,++Fe
AT3G59080,1.69,2.76761E-09,9.62544E-08,++Fe
AT2G37970,1.69,4.0614E-11,1.98698E-09,++Fe
AT3G25250,1.69,1.01719E-11,5.51766E-10,++Fe
AT2G18690,1.69,2.86404E-11,1.42159E-09,++Fe
AT2G29120,1.68,0.008819288,0.04447705,++Fe
AT5G64905,1.68,3.66243E-07,8.05341E-06,++Fe
AT3G21690,1.68,8.17837E-13,5.538E-11,++Fe
AT1G08900,1.68,0.001890133,0.013421258,++Fe
AT1G73480,1.68,1.70286E-14,1.60477E-12,++Fe
AT3G10985,1.68,6.40722E-15,6.51879E-13,++Fe
AT1G32970,1.68,0.000187085,0.001974145,++Fe
AT5G63450,1.67,1.45318E-09,5.34487E-08,++Fe
AT5G38700,1.67,1.40703E-11,7.47369E-10,++Fe
AT1G35515,1.67,4.7811E-10,1.91338E-08,++Fe
AT1G23390,1.66,6.60111E-15,6.64989E-13,++Fe
AT5G51810,1.66,3.93595E-06,6.9508E-05,++Fe
AT4G28840,1.66,5.1615E-07,1.10642E-05,++Fe
AT3G43110,1.66,6.78962E-05,0.000837441,++Fe
AT5G43440,1.66,3.54932E-05,0.000476896,++Fe
AT2G37430,1.66,2.63069E-07,6.01764E-06,++Fe
AT1G10385,1.65,0.003911198,0.024069814,++Fe
AT1G55920,1.65,5.70759E-15,5.86534E-13,++Fe
AT4G02830,1.65,1.96635E-12,1.2335E-10,++Fe
AT5G17990,1.65,2.09697E-17,3.17653E-15,++Fe
AT4G33050,1.65,1.23892E-11,6.68496E-10,++Fe
AT3G01175,1.64,0.000362376,0.003424485,++Fe
AT3G55840,1.64,0.00173164,0.012495425,++Fe
AT1G59530,1.64,0.009339492,0.046458334,++Fe
AT2G38870,1.64,9.86044E-09,3.07856E-07,++Fe
AT1G44446,1.64,2.1116E-05,0.000305823,++Fe
AT4G13195,1.63,1.79644E-06,3.41741E-05,++Fe
AT4G05200,1.63,1.15467E-16,1.54333E-14,++Fe
AT3G53470,1.63,4.8727E-05,0.000630276,++Fe
AT4G00305,1.63,0.000742331,0.00623463,++Fe
AT3G55290,1.63,3.09352E-06,5.61336E-05,++Fe
AT3G09220,1.63,2.41401E-09,8.48223E-08,++Fe
AT1G66173,1.63,0.007337106,0.038699508,++Fe
AT1G62570,1.63,5.2097E-13,3.63612E-11,++Fe
AT3G54500,1.63,2.18259E-05,0.000314767,++Fe
AT3G29035,1.63,3.23475E-14,2.9664E-12,++Fe
AT1G32928,1.63,9.92416E-05,0.0011617,++Fe
AT1G16130,1.63,0.000737705,0.006215929,++Fe
AT1G16370,1.62,4.63997E-13,3.27198E-11,++Fe
AT2G22880,1.62,0.000105234,0.001220668,++Fe
AT5G38710,1.62,6.80164E-11,3.1635E-09,++Fe
AT5G01380,1.62,0.009673009,0.047700272,++Fe
AT2G30220,1.62,0.006697495,0.036048649,++Fe
AT1G63750,1.62,0.000263975,0.002637167,++Fe
AT3G18950,1.62,5.26263E-08,1.4142E-06,++Fe
AT2G22770,1.61,1.45992E-10,6.35219E-09,++Fe
AT2G29420,1.61,6.81573E-20,1.53167E-17,++Fe
AT2G31730,1.61,0.000136899,0.001522343,++Fe
AT3G03800,1.61,0.005412839,0.030654266,++Fe
AT2G04100,1.61,3.21968E-24,1.19714E-21,++Fe
AT1G51640,1.61,2.35602E-05,0.000336538,++Fe
AT1G69600,1.61,2.93314E-05,0.000405015,++Fe
AT3G03265,1.60,0.005969126,0.032946997,++Fe
AT1G09287,1.60,0.000654116,0.00560397,++Fe
AT2G26690,1.60,0.000417459,0.003861165,++Fe
AT5G49525,1.60,5.76836E-05,0.000729559,++Fe
AT5G18910,1.60,0.000269863,0.002683074,++Fe
AT3G04640,1.60,7.57179E-09,2.42321E-07,++Fe
AT1G74360,1.60,2.4028E-09,8.45735E-08,++Fe
AT3G09020,1.60,5.49505E-08,1.47086E-06,++Fe
AT5G67180,1.60,0.000632862,0.005456168,++Fe
AT3G22250,1.60,0.002731838,0.0181915,++Fe
AT5G02760,1.60,7.78438E-06,0.000127251,++Fe
AT2G31865,1.59,1.91043E-08,5.67029E-07,++Fe
AT1G28600,1.59,8.57203E-12,4.69968E-10,++Fe
AT3G47470,1.59,0.001094262,0.008528073,++Fe
AT2G38250,1.59,0.001685409,0.012204893,++Fe
AT5G44390,1.59,6.00088E-09,1.95722E-07,++Fe
AT5G07010,1.58,9.59405E-08,2.4282E-06,++Fe
AT3G49790,1.58,1.37023E-06,2.69434E-05,++Fe
AT3G60540,1.58,8.21686E-07,1.69904E-05,++Fe
AT1G31750,1.58,0.000411381,0.003810121,++Fe
AT1G28570,1.58,1.59501E-07,3.81051E-06,++Fe
AT2G08780,1.58,0.004801902,0.028032798,++Fe
AT2G47400,1.58,0.000661502,0.005655396,++Fe
AT3G51600,1.58,0.002542262,0.017158173,++Fe
AT5G52120,1.57,1.59775E-09,5.81388E-08,++Fe
AT2G21320,1.57,0.00016636,0.001792445,++Fe
AT3G14770,1.57,3.02704E-09,1.04743E-07,++Fe
AT1G72920,1.57,0.002627587,0.017617753,++Fe
AT2G29310,1.57,0.005122157,0.02942766,++Fe
AT5G25460,1.57,5.9406E-23,1.869E-20,++Fe
AT1G17310,1.57,0.000401934,0.00373446,++Fe
AT4G28290,1.57,4.91398E-06,8.48741E-05,++Fe
AT1G76410,1.57,2.15557E-05,0.000311339,++Fe
AT4G35480,1.56,4.93288E-07,1.06411E-05,++Fe
AT2G26370,1.56,3.55075E-07,7.84156E-06,++Fe
AT5G49690,1.56,9.41122E-05,0.001109181,++Fe
AT3G22370,1.56,8.13985E-06,0.000132111,++Fe
AT5G56520,1.56,1.7253E-05,0.000255485,++Fe
AT3G54200,1.56,2.37915E-12,1.47435E-10,++Fe
AT1G53950,1.56,1.30726E-07,3.20546E-06,++Fe
AT3G52790,1.56,6.63053E-08,1.74961E-06,++Fe
AT1G09180,1.56,0.002657592,0.017766509,++Fe
AT5G66880,1.55,1.02813E-14,1.00336E-12,++Fe
AT3G26450,1.55,5.56671E-06,9.47082E-05,++Fe
AT4G24350,1.55,0.000426223,0.003929782,++Fe
AT4G22070,1.55,8.48695E-12,4.66554E-10,++Fe
AT1G74000,1.55,1.04398E-07,2.60996E-06,++Fe
AT1G76070,1.55,9.95032E-10,3.78223E-08,++Fe
AT5G65870,1.55,4.8991E-09,1.61852E-07,++Fe
AT2G03200,1.55,8.63124E-09,2.73233E-07,++Fe
AT3G15353,1.54,1.69018E-11,8.79497E-10,++Fe
AT3G10500,1.54,7.33453E-16,8.87522E-14,++Fe
AT5G05390,1.54,0.000496721,0.00445915,++Fe
AT1G01720,1.54,1.83276E-10,7.90716E-09,++Fe
AT2G46220,1.54,3.69037E-05,0.000493256,++Fe
AT3G07205,1.54,0.008752041,0.044279871,++Fe
AT3G16150,1.54,0.000601025,0.005214664,++Fe
AT3G54830,1.53,0.004792452,0.028007237,++Fe
AT5G59730,1.53,3.81579E-14,3.40726E-12,++Fe
AT1G72490,1.53,0.002797398,0.018549541,++Fe
AT4G14860,1.53,0.000183043,0.001942403,++Fe
AT4G33666,1.53,0.00073687,0.006211454,++Fe
AT5G57010,1.53,1.20471E-05,0.000186074,++Fe
AT1G47760,1.53,1.74607E-05,0.000258186,++Fe
AT4G15760,1.52,8.47436E-12,4.66554E-10,++Fe
AT5G65990,1.52,7.37825E-08,1.92211E-06,++Fe
AT3G25795,1.52,0.000313081,0.003035803,++Fe
AT2G01890,1.52,3.95889E-13,2.83075E-11,++Fe
AT5G12280,1.52,0.0006574,0.005625037,++Fe
AT1G27730,1.52,2.72514E-09,9.49388E-08,++Fe
AT5G44700,1.52,4.15031E-05,0.000546867,++Fe
AT2G33205,1.52,6.9512E-05,0.000854153,++Fe
AT4G37410,1.52,1.66184E-08,4.98307E-07,++Fe
AT5G21940,1.52,2.67296E-07,6.10066E-06,++Fe
AT2G16990,1.52,2.48253E-08,7.12031E-07,++Fe
AT2G25820,1.52,0.003800148,0.023566223,++Fe
AT1G14870,1.52,7.44103E-07,1.55592E-05,++Fe
AT4G37060,1.51,9.06694E-05,0.001074269,++Fe
AT1G58030,1.51,2.85042E-08,8.07355E-07,++Fe
AT1G22160,1.51,0.002862898,0.018879802,++Fe
AT2G41640,1.51,5.44171E-06,9.31238E-05,++Fe
AT1G21110,1.51,1.82647E-11,9.45605E-10,++Fe
AT5G43175,1.51,0.000427159,0.003934869,++Fe
AT1G53620,1.51,0.004056823,0.02472788,++Fe
AT4G00880,1.50,5.02607E-10,1.99967E-08,++Fe
AT2G25460,1.50,4.3093E-07,9.37503E-06,++Fe
AT1G23550,1.50,1.86359E-05,0.000273978,++Fe
AT4G37010,1.50,4.63207E-12,2.72985E-10,++Fe
AT4G03540,1.50,2.53687E-06,4.71628E-05,++Fe
AT2G43670,1.50,1.66176E-08,4.98307E-07,++Fe
AT4G34120,1.49,1.59846E-15,1.80599E-13,++Fe
AT5G66070,1.49,1.35903E-11,7.23753E-10,++Fe
AT3G03170,1.49,1.49444E-05,0.000225378,++Fe
AT5G44400,1.49,0.004889771,0.028432136,++Fe
AT4G37800,1.49,0.000824246,0.00680344,++Fe
AT1G62422,1.49,2.92183E-07,6.58975E-06,++Fe
AT5G48000,1.49,4.29982E-06,7.50267E-05,++Fe
AT1G13100,1.49,9.84286E-11,4.41418E-09,++Fe
AT1G17950,1.49,9.30024E-07,1.90954E-05,++Fe
AT1G68850,1.48,2.73083E-12,1.67202E-10,++Fe
AT5G63130,1.48,1.40861E-07,3.41709E-06,++Fe
AT1G05065,1.48,0.000490584,0.004419575,++Fe
AT1G65510,1.48,6.83441E-08,1.79876E-06,++Fe
AT1G17380,1.48,4.12442E-06,7.23987E-05,++Fe
AT3G49160,1.48,0.000319279,0.003090037,++Fe
AT2G43390,1.48,0.000140063,0.001550782,++Fe
AT2G08440,1.48,0.001030842,0.008129859,++Fe
AT2G31180,1.48,2.48171E-08,7.12031E-07,++Fe
AT1G70810,1.48,7.95951E-12,4.44732E-10,++Fe
AT3G07970,1.48,0.000812407,0.006742585,++Fe
AT3G23080,1.48,2.28328E-08,6.63254E-07,++Fe
AT1G80820,1.47,3.75621E-10,1.52713E-08,++Fe
AT1G57990,1.47,1.06503E-06,2.15003E-05,++Fe
AT5G08790,1.47,2.40399E-10,1.01784E-08,++Fe
AT5G46845,1.47,0.00420421,0.025436716,++Fe
AT1G61550,1.47,0.003382181,0.021553629,++Fe
AT1G31710,1.47,2.64221E-06,4.88105E-05,++Fe
AT3G54640,1.47,1.6724E-17,2.61073E-15,++Fe
AT2G01580,1.47,0.001207856,0.009237882,++Fe
AT2G29950,1.47,4.42286E-06,7.69111E-05,++Fe
AT5G66650,1.47,2.78138E-05,0.000386146,++Fe
AT3G56620,1.47,0.001317824,0.009918844,++Fe
AT3G47420,1.47,1.35896E-06,2.67733E-05,++Fe
AT4G30660,1.47,3.69389E-08,1.02497E-06,++Fe
AT5G56620,1.47,0.001063231,0.008340264,++Fe
AT5G49700,1.46,0.001000965,0.007943245,++Fe
AT3G05937,1.46,2.16682E-09,7.63992E-08,++Fe
AT3G47500,1.46,1.14788E-07,2.83504E-06,++Fe
AT2G47530,1.46,1.01257E-05,0.0001599,++Fe
AT1G48260,1.46,2.35659E-05,0.000336538,++Fe
AT3G15518,1.46,0.000367846,0.003468165,++Fe
AT3G52400,1.45,6.58293E-11,3.08057E-09,++Fe
AT1G13340,1.45,1.05575E-14,1.0184E-12,++Fe
AT3G16900,1.45,2.67327E-05,0.000374955,++Fe
AT5G64110,1.45,0.000116403,0.001321733,++Fe
AT3G04070,1.45,2.06859E-14,1.92285E-12,++Fe
AT5G09480,1.45,7.40024E-09,2.37202E-07,++Fe
