atID,-Pi_ph6/+Pi_pH6,+Pi_ph5/+Pi_pH6,-Pi_ph5/+Pi_pH6,+Al/+Pi_pH6,++Fe/+Pi_pH6,-Pi_ph6/+Pi_pH6_wild-type,+Pi_ph5/+Pi_pH6_wild-type,-Pi_ph5/+Pi_pH6_wild-type,+Al/+Pi_pH6_wild-type,++Fe/+Pi_pH6_wild-type
AT2G32960,1,0,0,1,1,1,0,0,0,1
AT2G27190,1,0,0,1,0,1,0,0,1,0
AT4G05390,1,1,1,1,1,0,0,0,1,1
AT1G04770,1,0,0,0,0,1,0,1,1,1
AT5G02230,1,0,0,0,0,1,0,0,1,0
AT1G78050,1,0,1,1,1,1,0,0,1,1
AT5G52670,1,0,1,1,1,1,0,0,1,1
AT5G59490,1,0,0,0,0,1,0,0,1,0
AT1G70260,1,0,0,1,1,1,0,1,1,1
AT5G11920,1,1,1,0,1,0,0,1,0,1
AT2G02250,1,0,0,0,0,0,0,0,0,0
AT1G49000,1,0,1,0,0,1,0,1,0,0
AT1G15625,1,0,1,1,1,1,0,0,1,1
AT1G62280,1,0,0,1,0,1,1,1,1,1
AT4G10500,1,0,1,1,0,0,0,1,0,0
AT5G41290,1,1,1,1,1,0,0,1,1,1
AT3G49570,1,1,0,0,0,1,0,0,0,1
AT5G62330,1,0,1,1,0,0,0,0,1,0
AT5G52720,1,0,1,1,1,1,0,1,1,1
AT5G44568,1,0,1,1,1,1,0,1,1,1
AT2G26400,1,0,1,1,1,0,0,1,1,1
AT1G78230,1,1,0,1,1,0,0,0,1,0
AT4G27850,1,1,1,1,1,0,0,1,1,1
AT2G37870,1,0,0,0,1,0,0,0,1,1
AT3G16520,1,0,0,0,0,0,0,1,0,0
AT1G15610,1,0,1,1,1,0,0,0,1,1
AT3G12230,1,0,1,1,1,0,0,1,1,1
AT5G47850,1,0,0,0,1,0,0,0,1,0
AT3G46190,1,1,1,1,1,0,0,1,1,1
AT2G05100,0,1,0,0,0,0,0,0,0,0
AT5G52390,0,1,1,1,1,0,0,1,1,1
AT1G23730,0,1,1,1,1,0,1,1,1,1
AT5G07570,0,1,1,1,1,0,0,0,0,0
AT5G48850,0,1,0,0,0,1,0,0,0,0
AT3G08940,0,1,0,0,0,0,0,0,0,0
AT3G49580,0,1,0,0,0,0,0,0,0,1
AT5G52320,0,1,1,1,1,0,0,0,0,1
AT5G50335,0,1,0,0,1,0,1,0,0,1
AT5G18910,0,1,0,1,1,0,0,0,0,0
AT3G05400,0,1,0,0,0,0,0,0,1,0
AT3G16530,0,1,1,1,1,1,0,1,1,0
AT2G20520,0,1,1,0,1,0,0,0,1,0
AT4G01830,0,1,1,0,1,0,0,0,1,0
AT3G43930,0,1,0,0,0,0,0,1,0,0
AT3G17600,0,1,1,0,1,0,0,1,1,0
AT1G74830,0,1,1,0,1,0,0,1,0,0
AT5G24570,0,1,0,0,0,0,0,0,0,0
AT3G20460,0,1,1,1,0,0,0,1,1,0
AT3G49960,0,1,1,1,1,1,0,1,1,1
AT3G60280,0,1,0,0,0,0,0,0,1,0
AT5G22410,0,1,1,0,1,0,0,1,1,1
AT5G04960,0,1,1,1,0,0,0,0,1,0
AT1G34510,0,1,1,0,1,0,0,1,1,1
AT3G15700,0,1,1,0,1,0,0,1,0,0
AT1G51840,0,1,1,1,1,1,1,1,1,1
AT5G57530,0,1,1,0,1,0,0,0,1,0
AT4G16370,0,1,0,0,1,0,0,0,0,1
AT5G57540,0,1,1,0,1,0,0,1,1,1
AT1G52660,0,1,1,1,1,0,0,1,0,1
AT1G62422,0,1,1,1,1,0,0,0,0,0
AT3G29780,0,1,1,1,1,0,0,1,1,0
AT5G61650,0,1,0,0,1,0,0,1,0,1
AT2G46860,0,1,1,0,1,0,0,0,1,0
AT5G43230,0,1,1,0,0,0,0,1,1,0
AT1G48930,0,1,1,0,0,0,0,1,1,0
AT5G61350,0,1,1,0,0,0,0,1,1,0
AT4G22080,0,1,1,0,1,0,0,0,1,0
AT1G12950,0,1,1,1,1,0,0,0,1,0
AT3G23870,0,1,1,1,1,0,0,1,0,0
AT3G10710,0,1,1,0,0,0,0,0,1,0
AT2G44110,0,1,1,0,0,0,0,0,1,0
AT1G18420,0,1,1,0,0,0,0,1,0,0
AT4G00680,0,1,0,0,0,0,0,1,1,0
AT5G38700,0,1,1,1,1,0,0,1,1,1
AT2G41380,0,1,1,1,1,1,1,1,1,0
AT5G46870,0,1,1,0,0,0,0,1,1,0
AT1G69240,0,1,1,0,0,0,0,1,1,0
AT4G31250,0,1,1,0,0,0,0,1,1,0
AT4G34580,0,1,1,0,0,0,0,0,1,0
AT1G19650,0,1,1,1,1,0,0,1,1,0
AT4G25820,0,1,0,0,0,0,0,1,1,0
AT5G61550,0,1,0,0,0,0,0,1,1,0
AT2G22470,0,1,1,1,1,0,0,1,1,1
AT5G03640,0,1,1,0,0,0,0,1,0,0
AT1G27200,0,1,1,1,1,0,0,0,0,0
AT1G30870,0,1,0,0,0,0,0,0,1,0
AT2G45220,0,1,0,0,0,1,1,0,1,1
AT2G41970,0,1,0,0,1,0,0,1,1,0
AT2G16980,0,1,1,0,1,0,0,1,0,1
AT1G22530,0,1,0,0,0,0,0,0,1,0
AT2G42840,0,1,1,0,0,0,0,1,1,1
AT2G39200,0,1,1,1,0,0,0,1,1,1
AT1G30990,0,1,1,1,1,0,0,1,1,0
AT1G78860,0,1,1,1,1,0,0,1,1,1
AT2G19060,0,1,1,1,1,0,0,0,1,0
AT5G49780,0,1,1,0,0,0,0,1,1,1
AT5G13400,0,1,0,0,0,0,0,0,0,0
AT4G25100,0,1,0,0,0,0,0,0,0,0
AT2G44370,0,1,1,0,0,0,0,0,0,1
AT4G14630,0,1,1,1,0,0,0,0,1,1
AT4G10510,0,1,1,1,1,0,0,0,1,1
AT3G25190,0,1,1,1,0,0,0,1,1,0
AT5G43520,0,1,1,1,1,0,0,1,1,1
AT5G59680,0,1,1,1,1,0,0,1,1,1
AT5G50200,0,1,1,1,1,0,0,1,1,1
AT4G25310,0,1,1,1,1,0,0,1,1,1
AT5G22555,0,1,1,0,0,0,0,1,1,1
AT1G05650,0,1,1,1,1,0,0,0,1,0
AT1G21210,0,1,1,1,1,0,0,1,1,1
AT5G37450,0,1,1,1,1,0,0,1,1,1
AT5G41300,0,1,1,1,1,0,0,1,1,1
AT3G60470,0,1,1,1,1,0,0,1,1,1
AT2G45360,0,1,1,1,1,0,0,1,1,1
AT2G02580,0,1,1,1,1,0,0,1,1,1
AT3G60270,0,1,1,0,1,0,0,1,1,0
AT2G25410,0,1,1,1,1,0,0,1,1,1
AT4G07820,0,1,1,1,0,0,0,1,1,1
AT5G48430,0,1,1,1,1,0,0,1,1,1
AT4G19750,0,1,1,1,1,0,0,1,1,1
AT2G21900,0,1,1,1,1,0,0,1,1,1
AT1G33840,0,1,1,1,1,0,1,1,1,1
AT5G07760,0,1,1,1,1,0,0,1,1,1
AT1G08090,0,1,1,1,1,1,0,1,1,1
AT5G33355,0,1,1,1,1,0,0,1,1,1
AT5G23990,0,1,1,1,1,0,0,1,1,1
AT3G03670,0,1,1,1,1,0,0,1,1,1
AT4G19760,0,1,1,1,1,0,0,1,1,1
AT4G23170,0,1,0,0,1,0,0,0,1,1
AT3G05727,0,0,1,1,0,0,0,0,0,0
AT1G60830,0,0,1,1,1,0,0,1,0,1
AT5G07560,0,0,1,1,0,0,0,0,0,0
AT5G06865,0,0,1,1,1,1,0,0,0,0
AT4G13420,0,0,1,1,1,1,1,1,1,1
AT1G44130,0,0,1,1,1,0,0,1,1,1
AT1G63390,0,0,1,0,0,0,0,0,0,0
AT2G43510,0,0,1,1,1,0,0,1,1,1
AT3G29670,0,0,1,1,1,1,0,1,1,1
AT1G76470,0,0,1,1,1,0,0,1,1,1
AT4G28040,0,0,1,1,1,0,0,1,1,1
AT1G08430,0,0,1,1,1,1,1,1,1,1
AT4G30270,0,0,1,1,1,0,0,0,1,0
AT2G11215,0,0,1,0,0,0,0,0,0,0
AT4G23700,0,0,1,1,1,1,0,1,1,1
AT1G71140,0,0,1,1,1,0,0,1,1,1
AT3G01970,0,0,1,1,1,0,0,1,1,1
AT1G76210,0,0,1,0,0,0,0,0,1,0
AT2G29000,0,0,1,0,0,0,0,0,1,0
AT1G69480,0,0,1,1,1,0,0,1,1,1
AT2G26740,0,0,1,0,1,0,0,1,0,1
AT3G48580,0,0,1,1,1,0,0,0,1,1
AT1G61550,0,0,1,1,1,0,0,0,0,0
AT2G03360,0,0,1,1,1,0,0,1,1,1
AT1G14520,0,0,1,1,1,0,0,0,1,1
AT4G38420,0,0,1,1,0,0,0,0,1,0
AT3G61280,0,0,1,0,1,1,0,0,1,1
AT5G06860,0,0,1,1,1,1,1,1,0,1
AT3G56620,0,0,1,1,1,0,0,1,1,1
AT5G14780,0,0,1,1,1,0,0,1,1,1
AT4G04990,0,0,1,1,1,0,0,1,1,1
AT3G56080,0,0,1,0,1,0,0,1,1,1
AT1G68620,0,0,1,1,1,0,0,1,1,1
AT1G05340,0,0,1,1,1,0,0,1,1,1
AT1G23052,0,0,1,0,0,0,0,1,0,0
AT4G14860,0,0,1,1,1,0,0,1,0,1
AT4G08290,0,0,1,1,1,1,0,1,1,1
AT3G29410,0,0,1,0,1,0,0,0,1,0
AT2G21510,0,0,1,1,1,0,0,1,0,0
AT1G54940,0,0,1,0,1,0,0,1,1,0
AT2G43590,0,0,1,1,1,1,0,0,1,1
AT2G39690,0,0,1,0,0,0,0,0,0,0
AT5G38200,0,0,1,1,1,1,1,1,1,1
AT4G08535,0,0,1,0,0,0,0,0,0,0
AT4G00130,0,0,1,0,0,0,0,1,1,0
AT1G63730,0,0,1,0,0,0,0,0,0,0
AT2G30140,0,0,1,1,1,0,0,1,1,1
AT3G28345,0,0,1,1,1,1,1,1,1,1
AT1G22430,0,0,1,1,1,0,0,1,1,1
AT5G48010,0,0,1,0,1,0,0,1,1,1
AT3G47740,0,0,1,0,0,0,0,0,1,0
AT1G23540,0,0,1,0,0,0,0,0,0,0
AT5G03860,0,0,1,1,1,0,0,1,1,1
AT1G79860,0,0,1,0,1,0,0,1,0,0
AT4G28850,0,0,1,0,1,0,0,0,1,0
AT2G47530,0,0,1,0,1,0,0,1,0,1
AT1G72860,0,0,1,1,0,0,0,0,1,0
AT1G51830,0,0,1,1,1,1,1,1,1,1
AT5G40860,0,0,1,0,1,0,0,1,0,0
AT1G54970,0,0,1,0,0,0,0,0,1,0
AT1G64930,0,0,1,1,1,0,0,1,1,1
AT2G37670,0,0,1,0,0,0,0,1,0,0
AT5G52790,0,0,1,1,0,0,0,1,1,0
AT1G68330,0,0,1,0,1,0,0,1,1,1
AT3G51750,0,0,1,1,1,0,0,1,1,1
AT4G15765,0,0,1,0,1,0,0,1,1,1
AT1G77450,0,0,1,1,1,0,0,1,1,1
AT3G49120,0,0,1,1,1,0,0,1,1,1
AT1G59725,0,0,1,0,0,0,0,0,1,0
AT3G54870,0,0,1,0,0,0,0,0,1,0
AT5G08230,0,0,1,0,0,0,0,0,0,0
AT3G21180,0,0,1,0,0,0,0,0,1,0
AT1G70460,0,0,1,0,0,0,0,0,1,0
AT3G07070,0,0,1,0,0,0,0,0,1,0
AT4G15550,0,0,1,0,1,0,0,1,1,1
AT5G64260,0,0,1,1,1,0,0,0,0,0
AT4G27290,0,0,1,0,1,0,0,1,1,0
AT1G09170,0,0,1,0,0,0,0,1,1,0
AT4G09500,0,0,1,0,1,0,0,1,1,1
AT1G09530,0,0,1,1,1,0,0,0,1,1
AT4G07960,0,0,1,0,1,0,0,0,1,0
AT3G63380,0,0,1,1,1,0,0,0,1,1
AT1G79180,0,0,1,1,1,0,0,1,1,1
AT1G66180,0,0,1,1,1,0,0,0,1,0
AT5G53990,0,0,1,1,1,0,0,0,1,1
AT5G49270,0,0,1,1,1,0,0,1,1,0
AT3G57140,0,0,1,0,0,0,0,0,1,0
AT2G46600,0,0,1,0,1,0,0,1,1,1
AT3G21250,0,0,1,0,0,0,0,0,1,0
AT2G22920,0,0,1,1,0,0,0,1,0,1
AT5G47050,0,0,1,1,1,0,0,1,1,1
AT2G21830,0,0,1,1,1,0,0,0,0,1
AT5G36180,0,0,1,1,1,0,0,1,0,1
AT4G34131,0,0,1,1,1,0,0,1,1,1
AT1G55920,0,0,1,0,1,0,0,1,1,1
AT3G60330,0,0,1,1,0,0,0,0,1,0
AT4G23920,0,0,1,1,1,0,0,0,1,1
AT1G10530,0,0,1,0,1,0,0,0,0,0
AT3G10960,0,0,1,1,1,0,0,1,1,1
AT4G30960,0,0,1,1,1,0,0,0,1,1
AT5G53420,0,0,1,1,0,0,0,1,1,0
AT5G57660,0,0,1,0,1,0,0,1,1,1
AT1G58360,0,0,1,0,0,0,0,1,1,1
AT2G25490,0,0,1,1,1,0,0,0,1,1
AT4G05200,0,0,1,1,1,0,0,1,1,1
AT4G00460,0,0,1,0,0,0,0,1,0,0
AT5G03670,0,0,1,0,1,0,0,0,1,1
AT5G22890,0,0,1,1,1,1,1,1,1,1
AT3G30180,0,0,1,0,0,0,0,0,1,0
AT1G10050,0,0,1,0,0,0,0,0,1,0
AT1G53470,0,0,1,1,1,0,0,0,1,1
AT4G19810,0,0,1,1,1,0,0,1,1,1
AT5G63650,0,0,1,0,1,0,0,0,0,0
AT1G08840,0,0,1,0,0,0,0,0,0,0
AT2G45750,0,0,1,0,0,0,0,0,1,0
AT4G30560,0,0,1,1,0,0,0,0,1,0
AT5G50180,0,0,1,1,1,0,0,0,0,0
AT5G60700,0,0,1,0,0,0,0,0,0,0
AT1G61590,0,0,1,0,1,0,0,1,0,1
AT4G10380,0,0,1,0,0,0,0,1,1,0
AT5G49890,0,0,1,1,1,0,0,0,0,0
AT1G53830,0,0,1,0,1,0,0,1,1,1
AT5G18170,0,0,1,1,1,0,1,1,1,0
AT2G38860,0,0,1,1,1,0,0,0,1,1
AT1G30110,0,0,1,1,1,0,0,0,1,1
AT5G13420,0,0,1,1,1,1,0,0,1,1
AT1G18210,0,0,1,0,0,0,0,0,1,1
AT1G49820,0,0,1,1,1,0,0,0,1,1
AT5G42720,0,0,1,0,0,0,0,0,1,0
AT4G15400,0,0,1,1,1,0,0,0,1,1
AT4G24310,0,0,1,1,1,0,0,0,0,0
AT1G49230,0,0,1,0,0,0,0,0,1,0
AT4G26060,0,0,1,1,0,0,0,0,1,1
AT3G51330,0,0,1,1,0,0,0,1,1,1
AT1G71870,0,0,1,1,1,1,0,1,1,1
AT4G22270,0,0,1,1,0,0,0,0,1,1
AT1G35580,0,0,1,1,0,0,0,0,1,0
AT1G23150,0,0,1,1,0,0,0,0,1,1
AT3G29034,0,0,1,1,0,0,0,0,1,1
AT1G13930,0,0,1,1,0,0,0,0,0,0
AT3G07270,0,0,1,1,1,0,0,1,1,1
AT1G77280,0,0,1,1,1,1,0,1,1,1
AT3G01860,0,0,1,0,0,0,0,0,0,0
AT4G10550,0,0,1,1,1,0,1,1,1,1
AT1G66200,0,0,1,1,1,0,0,0,1,1
AT1G80380,0,0,1,1,0,0,0,0,1,0
AT4G18340,0,0,1,1,1,0,0,1,1,1
AT1G07260,0,0,1,1,1,1,0,1,1,1
AT1G32380,0,0,1,1,1,1,0,0,1,1
AT1G08930,0,0,1,0,0,0,0,0,0,0
AT2G38310,0,0,1,0,0,0,0,0,1,1
AT1G73270,0,0,1,1,1,0,0,0,1,1
AT3G09290,0,0,1,1,1,0,0,0,1,1
AT1G02900,0,0,1,1,0,0,0,0,1,0
AT1G29270,0,0,1,0,1,0,0,1,1,1
AT2G35930,0,0,1,0,0,0,0,0,0,0
AT3G22840,0,0,1,1,0,0,0,0,0,0
AT3G06990,0,0,1,0,1,0,0,0,1,1
AT2G27660,0,0,1,1,0,0,0,0,1,1
AT1G60095,0,0,1,1,1,1,0,1,1,1
AT1G48500,0,0,1,1,1,0,1,1,1,1
AT4G01700,0,0,1,1,1,0,0,0,1,1
AT2G23610,0,0,1,0,0,0,0,0,0,0
AT5G45500,0,0,1,1,1,0,0,1,1,1
AT1G49160,0,0,1,1,1,0,0,1,1,1
AT5G14760,0,0,1,0,1,1,0,1,1,1
AT3G07195,0,0,1,0,0,0,0,1,1,1
AT1G64400,0,0,1,1,1,0,0,0,0,1
AT5G42010,0,0,1,0,0,0,0,1,1,1
AT1G52200,0,0,1,0,1,0,0,0,1,0
AT5G01490,0,0,1,1,0,0,0,0,0,0
AT3G02140,0,0,1,1,1,0,0,0,1,1
AT3G54420,0,0,1,0,1,0,0,0,0,0
AT1G31885,0,0,1,1,0,0,0,0,1,1
AT1G01600,0,0,1,0,0,0,0,0,1,0
AT4G12720,0,0,1,0,1,0,0,0,0,0
AT3G62210,0,0,1,0,1,0,0,1,1,1
AT5G15130,0,0,1,0,0,0,0,0,0,0
AT1G22570,0,0,1,0,0,0,0,1,0,0
AT2G16660,0,0,1,0,1,1,0,1,1,1
AT2G44380,0,0,1,1,0,0,0,0,1,1
AT5G01100,0,0,1,0,1,0,0,0,0,1
AT4G37390,0,0,1,0,0,1,0,1,1,1
AT1G33610,0,0,1,1,1,0,0,0,1,1
AT1G24320,0,0,1,1,1,1,0,1,1,1
AT1G73600,0,0,1,1,1,0,0,1,1,1
AT5G24530,0,0,1,1,0,0,0,0,1,0
AT5G40780,0,0,1,1,0,0,0,0,0,0
AT2G35270,0,0,1,1,1,0,0,1,1,1
AT5G07390,0,0,1,1,0,0,0,0,0,1
AT2G21045,0,0,1,1,1,0,0,0,1,1
AT3G23175,0,0,1,1,0,0,0,0,1,1
AT4G14390,0,0,1,1,1,0,0,0,1,1
AT1G49320,0,0,1,1,0,0,0,0,1,0
AT5G25810,0,0,1,1,1,0,0,0,1,1
AT1G07610,0,0,1,1,1,0,0,0,1,0
AT3G47040,0,0,1,1,1,0,0,0,1,0
AT4G13510,0,0,1,0,0,1,0,1,1,1
AT3G49760,0,0,1,0,0,0,0,0,1,0
AT1G10550,0,0,1,0,1,0,0,0,1,1
AT5G45470,0,0,1,1,1,0,0,1,1,1
AT5G26280,0,0,1,1,0,0,0,1,1,1
AT5G03570,0,0,1,1,1,0,0,1,1,1
AT5G45480,0,0,1,1,1,0,0,1,1,1
AT5G45220,0,0,1,0,0,0,0,1,1,1
AT1G51890,0,0,1,0,0,1,0,1,0,1
AT5G12340,0,0,1,0,1,0,0,0,0,0
AT5G60760,0,0,1,1,1,0,0,0,1,0
AT1G55120,0,0,1,1,1,0,0,0,1,1
AT2G39530,0,0,1,0,0,0,0,0,0,0
AT1G15640,0,0,1,1,1,0,0,0,1,0
AT3G05155,0,0,1,1,0,0,0,0,1,0
AT4G19720,0,0,1,0,0,0,0,0,1,0
AT3G43890,0,0,1,1,1,0,0,0,1,1
AT4G04710,0,0,1,1,1,0,0,0,1,1
AT1G44050,0,0,1,1,1,0,0,1,1,1
AT1G45015,0,0,1,1,0,0,0,0,1,0
AT3G18560,0,0,1,1,1,1,0,1,1,1
AT4G34950,0,0,1,1,1,0,0,1,1,1
AT5G01790,0,0,1,0,1,0,0,1,0,1
AT3G20600,0,0,1,1,0,0,0,0,0,0
AT2G24600,0,0,1,0,1,1,0,0,0,1
AT1G61840,0,0,1,0,1,0,0,0,1,1
AT3G44990,0,0,1,1,1,0,0,1,1,1
AT1G29020,0,0,1,0,1,0,0,0,1,1
AT4G23550,0,0,1,0,1,0,0,0,0,0
AT1G50590,0,0,1,0,1,1,0,1,1,0
AT2G28160,0,0,1,1,1,0,0,0,1,1
AT3G23190,0,0,1,1,1,0,0,0,1,1
AT2G34180,0,0,1,1,1,0,0,1,1,1
AT3G50190,0,0,1,0,0,0,0,0,0,1
AT3G24300,0,0,1,1,1,0,0,1,1,1
AT3G20590,0,0,1,1,0,0,0,0,1,0
AT2G41100,0,0,1,0,0,0,0,0,1,0
AT5G01600,0,0,1,1,0,0,0,0,0,0
AT3G01190,0,0,1,1,1,0,0,0,1,1
AT2G44340,0,0,1,1,1,0,0,0,1,1
AT4G09770,0,0,1,1,0,0,0,1,1,1
AT5G09720,0,0,1,0,0,0,0,1,1,1
AT3G50200,0,0,1,1,0,0,0,0,1,0
AT1G55450,0,0,1,0,0,0,0,1,1,0
AT3G02620,0,0,1,1,1,0,0,1,1,1
AT3G44710,0,0,1,1,0,0,0,0,1,0
AT3G20340,0,0,1,1,1,1,0,1,1,1
AT5G10100,0,0,1,0,1,0,0,1,0,1
AT2G28710,0,0,1,0,0,0,0,1,1,1
AT2G46495,0,0,1,0,0,0,0,0,1,0
AT1G35910,0,0,1,0,0,1,0,1,1,1
AT2G22190,0,0,1,0,0,0,0,0,0,0
AT2G38870,0,0,1,0,1,0,0,1,0,1
AT5G20470,0,0,1,1,1,0,0,1,1,1
AT5G22570,0,0,1,0,1,0,0,0,1,1
AT5G25250,0,0,1,0,1,1,0,0,1,0
AT1G60110,0,0,1,1,1,0,0,1,1,1
AT1G80340,0,0,1,0,1,0,0,1,0,1
AT1G33612,0,0,1,1,1,0,0,0,1,1
AT4G30140,0,0,1,1,0,0,0,1,1,1
AT1G07550,0,0,1,0,1,1,1,1,1,1
AT1G09560,0,0,1,1,0,1,0,0,1,0
AT3G51340,0,0,1,1,1,0,0,0,1,1
AT3G12220,0,0,1,1,0,1,0,1,1,1
AT3G07600,0,0,1,1,0,0,0,0,1,0
AT3G06890,0,0,1,1,1,0,0,0,1,1
AT2G26820,0,0,1,1,1,0,0,0,1,1
AT2G43820,0,0,1,1,1,0,0,0,1,1
AT1G19250,0,0,1,1,1,0,0,0,1,0
AT1G21120,0,0,1,0,1,0,0,1,0,0
AT4G04700,0,0,1,1,1,0,0,1,1,1
AT3G47050,0,0,1,0,1,0,0,1,1,1
AT3G08040,0,0,1,1,1,1,0,1,1,1
AT1G44020,0,0,1,1,1,0,0,0,1,1
AT5G05900,0,0,1,1,1,0,0,0,1,1
AT1G50090,0,0,1,1,1,1,0,1,1,1
AT1G30730,0,0,1,0,1,0,0,0,1,0
AT5G62360,0,0,1,1,1,0,0,0,1,1
AT4G23496,0,0,1,1,1,0,0,0,0,0
AT5G45490,0,0,1,1,1,0,0,1,1,1
AT5G54710,0,0,1,0,1,0,0,1,1,1
AT1G11540,0,0,1,1,1,0,0,1,1,1
AT1G15630,0,0,1,1,1,0,0,0,1,1
AT2G03260,0,0,1,1,1,0,0,1,1,1
AT1G58150,0,0,1,1,0,0,0,0,1,1
AT3G51350,0,0,1,1,1,0,0,1,1,1
AT4G22690,0,0,1,0,0,1,0,1,0,1
AT4G01630,0,0,1,1,1,0,0,1,1,0
AT1G29670,0,0,1,0,0,0,0,0,0,0
AT4G21680,0,0,1,1,1,1,0,1,1,1
AT1G64910,0,0,1,1,1,0,0,1,0,1
AT3G59930,0,0,1,1,1,0,0,1,1,1
AT1G03400,0,0,1,0,0,0,0,0,0,0
AT4G30120,0,0,1,1,1,1,0,0,1,1
AT4G12550,0,0,1,1,1,0,0,0,1,0
AT3G07720,0,0,1,1,1,1,0,1,1,1
AT3G58810,0,0,1,1,1,1,0,1,1,1
AT5G45070,0,0,1,1,1,1,0,1,1,1
AT5G52710,0,0,1,1,1,0,0,1,1,1
AT2G02310,0,0,1,1,0,0,0,0,1,1
AT1G16150,0,0,1,0,0,0,0,0,0,0
AT3G61400,0,0,1,1,0,0,0,1,1,1
AT4G27845,0,0,1,1,1,0,0,0,1,1
AT2G42060,0,0,1,0,1,0,0,1,0,0
AT5G44585,0,0,1,1,0,0,0,1,1,1
AT1G29740,0,0,1,1,1,0,0,1,1,1
AT2G41240,0,0,1,1,1,1,0,1,1,1
AT3G12820,0,0,1,1,1,1,0,1,1,1
AT5G04730,0,0,1,1,1,0,0,1,1,1
AT3G27490,0,0,1,0,0,0,0,0,0,0
AT2G43220,0,0,1,0,1,0,0,0,1,1
AT5G02780,0,0,1,0,0,1,0,1,0,0
AT5G62420,0,0,1,1,1,0,0,0,1,1
AT5G45080,0,0,1,1,1,0,0,0,1,1
AT1G32510,0,0,1,0,1,0,0,0,0,0
AT1G29660,0,0,1,0,0,0,0,0,0,0
AT5G39493,0,0,1,1,1,0,0,0,0,1
AT1G54950,0,0,1,0,1,0,0,1,1,1
AT3G27950,0,0,1,1,1,0,0,1,1,1
AT4G26050,0,0,1,1,1,0,0,1,1,1
AT1G49860,0,0,1,1,1,0,0,1,1,1
AT4G19770,0,0,1,1,1,0,0,0,1,1
AT5G38820,0,0,1,1,1,1,0,1,1,1
AT1G66930,0,0,1,1,1,0,0,1,1,1
AT5G36870,0,0,1,1,1,0,0,1,1,1
AT3G50180,0,0,1,1,1,0,0,0,1,1
AT3G11402,0,0,1,1,1,0,0,1,1,1
AT4G15310,0,0,1,1,1,0,0,0,0,1
AT4G19690,0,0,1,1,1,1,0,0,1,1
AT2G30670,0,0,1,1,1,0,0,0,1,1
