symbol,low_log2fold,low_cpm
Sorcs3,0,1
Ntsr1,0,1
Csn2,0,1
Tg,0,1
Il22ra2,0,1
Slc36a3,0,1
Umodl1,0,1
Lgsn,0,1
Btnl4,0,1
Tcp11,0,1
Col6a4,0,1
4930550L24Rik,0,1
Klhl38,0,1
Sox8,0,1
Tmprss11e,0,1
Arhgap20,0,1
Zcchc12,0,1
Cdh10,0,1
Dmp1,0,1
Asxl3,0,1
Pglyrp4,0,1
Lman1l,0,1
Nxf7,0,1
Calcb,0,1
Cdh26,0,1
Bpifa6,0,1
Gm4794,0,1
Tcfl5,0,1
Tmem121,0,1
Stmn4,0,1
Elmod1,0,1
Cdk15,0,1
Ppp2r2c,0,1
Arhgap8,0,1
4933430I17Rik,0,1
Gm14479,0,1
Thsd7b,0,1
Gm14476,0,1
Gm14477,0,1
Gm14475,0,1
Stfa3,0,1
Hsd17b3,0,1
Gnb3,0,1
Ccdc150,0,1
Spaca1,0,1
Ott,0,1
Gm15085,0,1
Nos1,0,1
Il3,0,1
Vstm2b,0,1
Krt24,0,1
Thbs4,0,1
Wnt7a,0,1
Lrch2,0,1
Vat1l,0,1
Nptx2,0,1
Six2,0,1
Syt6,0,1
Gucy2g,0,1
Ldb3,0,1
Zfp536,0,1
Asphd2,0,1
Mslnl,0,1
Il17c,0,1
Nxf2,0,1
9830107B12Rik,0,1
Slc12a3,0,1
Htr7,0,1
Akap3,0,1
Shbg,0,1
Ccdc85a,0,1
Tctex1d1,0,1
Cnga1,0,1
Ceacam10,0,1
Tktl1,0,1
Prss42,0,1
Scrt1,0,1
Tdrd12,0,1
Gm12253,0,1
Rag1,0,1
Tbr1,0,1
Bnc2,0,1
Il31ra,0,1
Dmc1,0,1
Ip6k3,0,1
Khdrbs2,0,1
S100z,0,1
Gjb3,0,1
Svs4,0,1
Wdr16,0,1
Dusp15,0,1
Gsdmc2,0,1
Gm1604b,0,1
Vmn2r85,0,1
Svs5,0,1
Col2a1,0,1
Gm15093,0,1
Gm9839,0,1
Ptpn20,0,1
Fam92b,0,1
Actbl2,0,1
Odf3l1,0,1
Hmx2,0,1
Hoxd3,0,1
Fam26d,0,1
Gdap1l1,0,1
Xlr5a,0,1
Osr2,0,1
Add2,0,1
Fgf18,0,1
4931406B18Rik,0,1
Olfr543,0,1
Gm6121,0,1
Gpr156,0,1
Cst6,0,1
Tnnc2,0,1
Olfr1420,0,1
Wnt8b,0,1
Esx1,0,1
Crhbp,0,1
Glycam1,0,1
Cldn19,0,1
Gsdmc,0,1
Olig2,0,1
Prss2,0,1
Neto1,0,1
Sycp1,0,1
Otx1,0,1
En2,0,1
Lrfn2,0,1
Slc9a4,0,1
Olfm4,0,1
Adam6b,0,1
Gpr75,0,1
Hus1b,0,1
Tcap,0,1
Bnipl,0,1
Vmn2r95,0,1
Lpo,0,1
Slc5a8,0,1
Dsc3,0,1
Gsdmc3,0,1
Abcc8,0,1
Tnfrsf8,0,1
Lim2,0,1
Fgf10,0,1
Ctsj,0,1
Myh13,0,1
Efhc2,0,1
Ffar3,0,1
1700007K09Rik,0,1
T2,0,1
Cpne9,0,1
Olfr111,0,1
Ddn,0,1
Cyp27b1,0,1
Zp1,0,1
Olfr701,0,1
B3galt2,0,1
Slc17a7,0,1
Gm15127,0,1
Klra6,0,1
Olfr1510,0,1
Aox4,0,1
Ankrd34b,0,1
Cnga3,0,1
Gucy2f,0,1
Tmem232,0,1
Kcnh2,0,1
Spata21,0,1
Tex15,0,1
Rbp2,0,1
Camkv,0,1
Il5,0,1
D930020B18Rik,0,1
Impg1,0,1
Cort,0,1
Gm17359,0,1
Pthlh,0,1
Cdh19,0,1
AU018829,0,1
Il22,0,1
BC061194,0,1
Slc6a2,0,1
Kcns1,0,1
Gm16367,0,1
Rxfp2,0,1
Vmn2r36,0,1
Cacna2d2,0,1
Usp9y,0,1
Tssk3,0,1
Lrrc23,0,1
Mei4,0,1
Krt81,0,1
Katnal2,0,1
Muc20,0,1
Neurod2,0,1
Rnase1,0,1
Tnfsf4,0,1
Grik3,0,1
Tspan1,0,1
Ankrd7,0,1
Slc47a2,0,1
Col9a1,0,1
Prss27,0,1
Nxph4,0,1
Txndc2,0,1
Kcng3,0,1
Dner,0,1
Slc34a3,0,1
Otud7a,0,1
Myh15,0,1
Gm5868,0,1
Klra19,0,1
Efcab5,0,1
Pnma2,0,1
Fabp6,0,1
Prps1l1,0,1
Lypd6b,0,1
Gad1,0,1
Ms4a2,0,1
Muc4,0,1
Nepn,0,1
LOC100503280,0,1
Tmprss11d,0,1
Elavl3,0,1
Ptcra,0,1
Lrrc66,0,1
Pof1b,0,1
Sh3gl3,0,1
Gm13272,0,1
S100a5,0,1
Slc6a20b,0,1
Gpr151,0,1
Tcerg1l,0,1
Oprl1,0,1
Npsr1,0,1
Fgf2,0,1
Zic5,0,1
Gm13286,0,1
Tex101,0,1
Olfr1444,0,1
Tekt4,0,1
Gm1123,0,1
H2-M5,0,1
Ccdc65,0,1
Vmn2r87,0,1
Klk1b21,0,1
Slc38a5,0,1
Olfr110,0,1
Stra8,0,1
Prss33,0,1
Sacs,0,1
Gucy1b2,0,1
Foxd4,0,1
Hoxa10,0,1
Csrnp3,0,1
4931429I11Rik,0,1
Vmn2r5,0,1
Hspb3,0,1
Nxf3,0,1
Morc1,0,1
Klk1b11,0,1
Loxhd1,0,1
Idi2,0,1
Amelx,0,1
Dcaf12l2,0,1
Myoz1,0,1
Tmem217,0,1
Chga,0,1
Rimbp3,0,1
Efhb,0,1
Pnmt,0,1
Tmem95,0,1
Spz1,0,1
Vmn2r3,0,1
Tnfsf18,0,1
Sv2b,0,1
Tgm7,0,1
Vmn2r2,0,1
Pip5kl1,0,1
Gm2030,0,1
Bhlha9,0,1
