"","logFC","logCPM","PValue","FDR"
"11590",-1.98807389819936,5.12992584656818,1.25185753391943e-26,8.82775398919045e-24
"1731",-2.01015962427909,5.08434769143258,2.26645673486441e-25,1.54496800759924e-22
"3187",3.15348417100157,7.51356106055924,3.59388575945062e-25,2.37080528325049e-22
"6369",3.60089945887373,6.66076612850173,4.93828971629784e-25,3.15587577182159e-22
"17302",-3.55214417524337,6.02057122800852,6.72778444396385e-24,4.16918763269881e-21
"10021",-2.61438569277446,4.95223645595349,1.48364517496416e-23,8.92368936118148e-21
"9362",-1.87824339780275,4.78582545071599,2.0359949333634e-23,1.18960275392233e-20
"3235",4.17140825091702,8.59827225181158,2.25319372385712e-23,1.27993921257995e-20
"5251",-2.35230667377667,4.35994922958744,2.4286557848314e-23,1.34232461621087e-20
"9917",1.65517497184377,10.6091887011983,4.28328054670134e-23,2.30508124158006e-20
"10684",3.03635093406374,5.21035378145746,8.55834843775874e-23,4.4876468090299e-20
"16940",2.37620515954005,7.47745337440646,1.64426429830139e-22,8.40630122506588e-20
"2334",2.62473013718852,6.59437283694931,2.19469556822488e-22,1.09467132610241e-19
"10735",-2.50463805552076,5.77898815196829,6.09808142964973e-22,2.96918488657945e-19
"17087",-2.19144598750758,6.03775268448229,9.2417153965006e-22,4.37581747617648e-19
"14143",3.63282025537997,5.97982421538975,9.41496180693228e-22,4.37581747617648e-19
"14773",1.88875820454419,8.73817751569838,1.0809468650135e-21,4.91230297545022e-19
"2828",-2.07764632279195,5.35183725453343,1.26372264619867e-21,5.61807132929627e-19
"19794",3.46204810632643,6.5502910617126,1.36126586403312e-21,5.92295466371858e-19
"13404",2.41305050198394,6.53746560158027,1.50776091048908e-21,6.42368971239617e-19
"7121",-2.29547169674078,4.42062023767002,2.65460069504378e-21,1.10788947374786e-18
"1516",3.27671557526322,6.43466914590458,3.24077651039571e-21,1.32547759275184e-18
"18742",5.17193465880728,6.57291085599151,6.81414067510918e-21,2.73233680011731e-18
"5530",-1.62484678176296,5.17637420670084,8.03025901016653e-21,3.15805378380588e-18
"7734",-1.99112850951495,4.70511290452577,1.34270268714581e-20,5.18080565134561e-18
"11467",-1.83738203777772,4.59427738743527,1.40811395326978e-20,5.3325796934013e-18
"7690",2.50195179903483,4.99836299971325,1.8702722007628e-20,6.91891517093908e-18
"10278",-2.75595887787694,5.49209507040337,1.89466625707867e-20,6.91891517093908e-18
"13548",2.14930976552211,5.51256840352216,5.87569250435742e-20,2.10803353884402e-17
"16196",-2.22235084713182,3.99169202039508,8.32457603934658e-20,2.93513068973513e-17
"3048",-1.76332281554699,5.57176966450808,1.76106178916386e-19,6.10401925227135e-17
"2151",-1.73789000337651,4.10854372499136,2.16775197247491e-19,7.38842130618533e-17
"10240",1.9158512776345,8.56579112866094,3.72933931148475e-19,1.25024571999776e-16
"5522",-1.92980441168247,4.96924404359762,5.09367536193215e-19,1.68009130889536e-16
"16195",-3.50210860629465,2.98067773688633,1.12171339068692e-18,3.64111727611864e-16
"16563",-2.6552430470574,3.35341829672833,1.26918642296642e-18,4.03612360933833e-16
"14081",2.3348429641613,7.22332650214445,1.28287547485081e-18,4.03612360933833e-16
"6691",3.65038882522519,4.31697376133314,2.29081250837616e-18,7.0980478479231e-16
"11729",-1.61672830836702,4.87260879261975,2.977816020929e-18,9.08900561611911e-16
"1490",-1.43716950062335,5.53093630291384,3.13703820614706e-18,9.43418107583933e-16
"11243",-2.05311082388877,6.18240588020833,3.19751953396504e-18,9.47670644486741e-16
"19410",-2.62155821579454,3.61579834108549,4.88273296726202e-18,1.42645555972155e-15
"15311",2.41338009298924,6.65569765819368,5.59742500913936e-18,1.61221607657606e-15
"14190",-1.62713146129166,4.48920856692323,8.43898411271799e-18,2.39690590423726e-15
"16456",2.83960025437771,5.97704272558925,1.05445442158406e-17,2.95391683854713e-15
"19467",2.80646720605507,5.47213116723068,1.14808090525174e-17,3.17273709627001e-15
"49",-1.51168174405953,5.93797303164337,1.47944505856982e-17,4.03395352636705e-15
"2923",2.33842281822105,7.67761118239922,1.77236961663241e-17,4.76907350791221e-15
"17729",2.77970073994961,9.44078661148403,1.98168680889149e-17,5.26305133010791e-15
"10899",2.51846361127937,7.68799023268262,2.41930525792748e-17,6.34292211854063e-15
"4119",2.89136390708469,5.73638688264636,3.38481585065237e-17,8.76196001846089e-15
"17275",-4.01266556541583,2.46357022399622,3.85787587256146e-17,9.86169519923522e-15
"4554",2.99414190185266,4.66386734733252,4.41567704127992e-17,1.11482216659475e-14
"8320",1.41826506963696,8.96984907186179,5.18893356064039e-17,1.29406940628166e-14
"19783",3.57628491437562,7.57641275716833,6.56108149087552e-17,1.61655562034222e-14
"16477",2.20354300261848,5.5910854562479,7.53757323392182e-17,1.82854519377549e-14
"14197",2.10909099209553,6.89207755057625,7.60031009637736e-17,1.82854519377549e-14
"17128",-1.39269318998342,5.36840594454986,9.10800625789808e-17,2.16579916248856e-14
"9911",2.09824875814647,9.56312863495715,1.41412472985769e-16,3.32400583052755e-14
"13301",2.92118620521911,8.2834507319208,1.71341076081171e-16,3.96094418872474e-14
"3394",2.29655062765066,7.42240525398427,1.72383390120539e-16,3.96094418872474e-14
"1565",-5.94211169292245,2.46176780344026,1.8145360516926e-16,4.1230291396793e-14
"19530",2.91165384975537,6.61612136267852,2.05787526034451e-16,4.5774155377644e-14
"2722",2.62930532542863,6.84177818134545,2.05927740574242e-16,4.5774155377644e-14
"15415",-1.64946589283924,5.97820685269706,2.35464267513854e-16,5.17768201146056e-14
"19282",2.6626239026934,8.25020353983638,2.6016668707555e-16,5.66000930925001e-14
"7010",-1.06739746560474,9.43496605730545,2.65600430007769e-16,5.71739873016725e-14
"18360",-1.71447464655602,5.11610340074364,2.80187371050485e-16,5.96857472706503e-14
"14752",2.85360444794607,5.96068932493668,3.05531358509047e-16,6.44135699124744e-14
"20193",1.67282118143188,6.01909793807305,3.93620177076222e-16,8.21380879715178e-14
"20094",-1.40400413686872,6.64111988112069,5.20628621876111e-16,1.07116531994701e-13
"2469",-1.57632548680468,6.70913030067297,5.23797222467975e-16,1.07116531994701e-13
"10408",-1.55012519828169,5.80866838551154,8.53293353372646e-16,1.72770782935353e-13
"17732",1.93523386530129,6.22975102136043,9.81373896038678e-16,1.96755844843049e-13
"7898",-2.67114027658725,5.97212232399477,9.9632331162313e-16,1.97813706045563e-13
"9267",1.39694766065847,13.1532917205282,1.34110027323875e-15,2.63706736420504e-13
"14314",-1.55590999177331,8.62269511357686,1.92202469767415e-15,3.7201685226204e-13
"2045",-1.65960627117976,4.96143546357517,1.9283025105025e-15,3.7201685226204e-13
"10157",-1.17890483843773,7.37263916279991,2.15774246012627e-15,4.12390965510115e-13
"1175",1.81211733302976,6.48122755585925,2.1821306783956e-15,4.13190484936944e-13
"2772",-3.09499954413174,3.32271398767846,2.49504660705956e-15,4.63851846494255e-13
"11872",-3.06839968604652,2.83741094806908,2.49504660705956e-15,4.63851846494255e-13
"16470",2.46005700556378,6.88746955752838,3.29745624232934e-15,6.07504325726442e-13
"14674",3.06181652144118,6.21487923982794,3.37759172399655e-15,6.16712060319012e-13
"11214",-3.50760556277743,2.46300292403772,3.64319927038388e-15,6.59322345834959e-13
"10292",2.90813117987752,5.50884240748873,3.77089160527204e-15,6.76445029191344e-13
"3233",4.05638618280997,7.07166474623091,4.10554599286783e-15,7.30073178731713e-13
"14110",2.73054046645015,8.16697056780897,4.21134124931383e-15,7.42430418521274e-13
"14734",1.93614901951793,7.31168429659695,4.42177594369884e-15,7.72865966227704e-13
"4214",3.33482932667473,5.58917278880797,4.62585218913889e-15,8.01683705660088e-13
"9915",2.19367811179043,6.91996746630811,4.74558793727156e-15,8.15523305186583e-13
"11732",-1.70959908650977,5.19469654167218,5.8244122200506e-15,9.92576915833623e-13
"18474",2.20613447821825,8.73308286138342,6.09896082968335e-15,1.03077478485144e-12
"14735",1.44062564743262,7.41529880414902,8.80941176493037e-15,1.47665959502316e-12
"5004",-1.1362261371666,7.36957318111602,1.03594678470938e-14,1.72236680872414e-12
"9328",1.52319647064879,7.80363265883763,1.07756389573243e-14,1.77711142481678e-12
"9914",1.68947837757676,7.53672222544323,1.13684397109149e-14,1.85987673670567e-12
"13378",-1.50731504968107,6.62458712142368,1.78514033138225e-14,2.89731109339421e-12
"1284",-2.66765741710235,3.57637461802691,1.8074028469875e-14,2.91034552920428e-12
"1735",4.43317847418851,4.52122604454355,1.92801688010071e-14,3.05836483835335e-12
"17551",2.29336701846055,8.03584064048586,1.92923747749429e-14,3.05836483835335e-12
"18449",-1.25008124679641,5.6839124829193,2.01827869739835e-14,3.17490764321509e-12
"17933",2.53354985302293,7.71803397770536,2.1007987160237e-14,3.27949112539578e-12
"11210",-2.03372875493782,6.02536660430732,2.21451556045427e-14,3.43082145540075e-12
"1082",-1.42151916924309,6.11231897271013,2.40536875826939e-14,3.6984805343315e-12
"18199",1.98378933551369,7.69182841192212,2.44169709054672e-14,3.72632130609555e-12
"19203",2.74694058492064,6.05894249251214,2.87134691206873e-14,4.34955884087448e-12
"7732",2.33527099300847,7.47578925943194,2.94295896997665e-14,4.42525815706048e-12
"18792",2.25730104494496,5.89823976268656,3.42386827095604e-14,5.11081066723e-12
"6483",2.49180177802007,6.14977499340915,3.61805036399015e-14,5.36153115533322e-12
"8697",3.57310958110285,5.403840436525,4.18269980148436e-14,6.15368424031333e-12
"3234",3.46597644069498,7.87323322242684,4.43896418150623e-14,6.4538649043625e-12
"8087",-1.26262731369786,5.55581852731077,4.44985306364358e-14,6.4538649043625e-12
"8248",-6.34138420274405,2.22386096586685,5.86492164453346e-14,8.44631321343022e-12
"2918",-1.31722165789525,6.67129316242668,9.03365326061639e-14,1.29187558866857e-11
"6106",-1.68730202253586,6.72086128720426,9.73777226710301e-14,1.38289890876567e-11
"3875",-1.39427331318948,6.13129464895971,9.85096180664883e-14,1.38932530307565e-11
"381",1.38524599485961,8.2503660235564,1.22767535079748e-13,1.71958636464441e-11
"7152",-1.75145814650197,4.00598427082695,1.33325226709301e-13,1.85476250762259e-11
"14145",2.8786322933882,5.92023442327767,1.40672280750343e-13,1.9437487441517e-11
"18906",-3.80821496363595,2.98038793616776,1.44863843459875e-13,1.98823194547278e-11
"4218",-1.5125818851476,5.15256813608284,1.6269520536999e-13,2.2180779665442e-11
"16930",-1.26009907401867,5.72113856574391,1.67108084888768e-13,2.263152540381e-11
"3099",2.4865294031615,6.44120015207198,1.78592360006545e-13,2.40277221193017e-11
"14451",3.1245913755387,5.2076953528571,1.92883666863858e-13,2.57808561265745e-11
"11940",2.38535642366471,4.75595288698275,1.97837837443135e-13,2.62713232189098e-11
"16457",2.23339253305836,5.22426472560618,2.01280714954509e-13,2.65560685214174e-11
"11752",-1.1485367113901,5.69849338350175,2.09634017722884e-13,2.74808696309806e-11
"471",2.02695117856498,6.68779562268624,2.19843168136451e-13,2.863562285599e-11
"17092",-3.07823975598064,2.99979026726663,2.2421193788341e-13,2.90198362640236e-11
"4079",1.18184680361167,7.82210164801506,2.27748637497992e-13,2.92921989737984e-11
"19951",1.17279002154765,7.41042085868292,2.49389643201215e-13,3.18751137716553e-11
"14739",2.88476952667715,3.41237753037853,2.5705212578711e-13,3.26504097661267e-11
"10411",2.26026707987234,5.96314439703524,2.77269271589442e-13,3.50009666913833e-11
"17232",-1.78101871857188,4.17019855905579,2.86814143770939e-13,3.59837376694215e-11
"2622",-1.24123139999537,4.72324232743394,2.90821082656539e-13,3.62639703678428e-11
"16034",2.60999804632047,7.18880565912904,3.20560002142281e-13,3.97300123867252e-11
"9873",1.57971682551396,9.93275332944349,3.93332622404964e-13,4.84557357119368e-11
"12199",3.30501043823674,4.62774848635548,4.05918897512326e-13,4.97068350546531e-11
"14264",-1.14509780128042,5.88568501035922,4.39607655491667e-13,5.35117652071702e-11
"9566",-2.16545523645862,6.30677280420253,4.74850731266789e-13,5.74597482509221e-11
"16706",1.82780117283528,4.77204654182901,5.38067386422016e-13,6.47263414842954e-11
"8047",-1.33216053963937,5.95740452613318,6.75653979435321e-13,8.08018940318848e-11
"15393",2.97420649934143,6.2674311877888,6.86235382942332e-13,8.15901952393644e-11
"15343",5.78543740361385,4.29361508914124,7.03809614638474e-13,8.31959920194034e-11
"17429",2.30905466247268,6.31431067634124,7.33375695759145e-13,8.61927182659455e-11
"19531",2.30086482025509,6.24836586436761,7.45907508641303e-13,8.71646202955123e-11
"20343",-1.34553261795085,5.01949480515857,7.67336282042451e-13,8.91592441350462e-11
"3393",1.51597059507029,9.7127954679175,8.17947011837928e-13,9.45029174694103e-11
"4473",-3.7424345349992,2.58628589352281,8.45878461207115e-13,9.71809805150871e-11
"9033",4.13693865764901,4.96397801537245,9.102768730933e-13,1.03995318741665e-10
"7631",-1.38054765644038,5.02421449338836,9.85988659341291e-13,1.12019267130719e-10
"9829",-1.31059849995187,6.35990661589876,1.15319482678662e-12,1.30291901700477e-10
"17466",-1.31631343358693,5.43364824027062,1.23059694816732e-12,1.38273118626493e-10
"15210",1.69471770259116,5.90827214140265,1.29459800869225e-12,1.44669558894845e-10
"14767",-3.13747762023655,4.8461665998959,1.32502891961305e-12,1.47265442424385e-10
"1191",-2.73607165234808,4.28298913031982,1.33937937736846e-12,1.48055720363162e-10
"16668",-1.63140734257695,5.88332703982568,1.34690903372356e-12,1.48087579245413e-10
"18322",1.83194420079306,5.32043602561782,1.3628474284377e-12,1.49038662628614e-10
"12497",1.97617690919154,5.53349215529681,1.4362380405617e-12,1.56229084731312e-10
"1179",-1.23431320717,4.85284735958644,1.4999595544355e-12,1.62297211048709e-10
"6644",-1.2450418557136,5.71207721499559,1.52897211543748e-12,1.64565682951034e-10
"11005",2.38013459634469,3.91322454253078,1.80583866714833e-12,1.9334764787007e-10
"18120",-2.21763757898091,3.36565386486918,2.02541754766455e-12,2.15728066925729e-10
"11388",-1.30660459332587,5.42137573950117,2.0519500966284e-12,2.17421655316325e-10
"2011",-1.97406552504988,3.51666572962054,2.07533446333468e-12,2.18765926676259e-10
"2990",0.833687962791737,9.62862654773759,2.10260901762101e-12,2.20504381591536e-10
"19151",-1.21502021255114,5.7158400121276,2.31902263608389e-12,2.41959249530181e-10
"11365",4.55789528301982,4.44397760641397,2.34208808846654e-12,2.43125387863658e-10
"545",-1.38128135250854,6.49706617545748,2.63652372053687e-12,2.72307626691813e-10
"15090",3.6849777410903,8.57577611239365,2.84234462476363e-12,2.92065936982014e-10
"2803",-1.28320110830928,6.01705789023082,2.85639058173119e-12,2.92065936982014e-10
"7704",-1.40287857636706,7.02175292848807,3.06194566564318e-12,3.11526312748274e-10
"13362",1.95533432799407,5.45132159482501,3.17902609213029e-12,3.21837047445863e-10
"14798",1.73908351048647,6.61182445399912,3.58766996709989e-12,3.61417984370408e-10
"18341",1.99533020842678,5.61641447431319,3.79001310057432e-12,3.79930234836984e-10
"16035",2.26211198574114,7.09627698627021,3.85843718551304e-12,3.84902636310935e-10
"9454",-1.25933683016354,4.90620944311078,4.47978734986624e-12,4.44716753906624e-10
"18115",-3.13702234204614,5.5649268223802,4.62156430186109e-12,4.56574830787726e-10
"9875",-1.23268111572764,6.87908506744105,4.75710660413063e-12,4.67705913723421e-10
"13298",3.25734009157398,6.24835784245924,5.14374465970734e-12,5.03299417660359e-10
"6420",1.5795081793629,6.15104443605784,5.33345127332165e-12,5.19376564473466e-10
"11092",1.87067716568838,6.28340759891304,5.70112261320973e-12,5.52549561327672e-10
"13200",2.33645046267689,5.29560087823016,5.89781267942202e-12,5.6891636459519e-10
"14114",2.8334075874078,5.12725134820895,5.99738701265142e-12,5.75805466707613e-10
"16739",-1.60484705208452,5.60273925680588,6.77784191097955e-12,6.4769564055856e-10
"7716",-1.33474048913521,5.44551203339478,7.00909217200681e-12,6.66678767058323e-10
"4245",1.93323701425244,4.62413334581072,8.15597767570692e-12,7.72174738278734e-10
"17921",-1.34183750001701,6.04084079283181,9.02677908265918e-12,8.50680332904978e-10
"12933",-1.08897185282352,7.12152491817916,1.01676518588836e-11,9.53800369331055e-10
"18789",2.0375363503541,5.44784905608248,1.11786998077849e-11,1.04385575830686e-09
"2440",-1.72777621374118,5.2715501107598,1.25683757305701e-11,1.16828765313708e-09
"12813",-1.83021855557864,5.07311809065143,1.38196025629011e-11,1.27878222810556e-09
"5894",-1.61924888749084,5.34226031404965,1.48246577785182e-11,1.36560473680495e-09
"14199",1.40005513087765,5.35018853888426,1.60744798748937e-11,1.47409467911021e-09
"1633",-1.80840603676506,3.91011657725001,1.70550745066345e-11,1.55703693598516e-09
"4182",1.56852566870301,10.135310604268,1.95890011790153e-11,1.78042255160383e-09
"20035",1.7872506194729,5.71782112145109,2.08738767336482e-11,1.88148865614837e-09
"14083",1.45722836399605,8.24325789577462,2.08849841049233e-11,1.88148865614837e-09
"18349",2.10359454711882,6.13558822723321,2.15383785298999e-11,1.93184140761602e-09
"12866",-1.41763753750886,6.20657354273771,2.2432700562821e-11,2.00326954807725e-09
"4751",3.09850700757545,7.68052960155282,2.32605908964886e-11,2.06816992970953e-09
"20097",-1.18651601197698,6.87180556381255,2.5587318632868e-11,2.26519768849416e-09
"8264",-0.969764685238968,7.23565766773704,2.61937409664609e-11,2.30888794294882e-09
"6399",-2.13366596735293,6.37014570965612,2.6721823560761e-11,2.3453274326934e-09
"10610",-1.38850368122234,4.540669415615,2.70467127853951e-11,2.36369776265525e-09
"737",-1.56911962749679,5.96363149037576,2.77631593022962e-11,2.41598556481684e-09
"127",-1.97465301250913,6.56718441808539,3.13039864952395e-11,2.71257001621884e-09
"16874",2.41711935489008,4.74711753213555,3.19115025050482e-11,2.75354525834698e-09
"3787",-1.84620651518103,4.2135583653609,3.25391846374215e-11,2.79590893208096e-09
"10481",2.51400146380888,5.79546813094438,3.57249392412355e-11,3.05679919449065e-09
"13995",-1.46918189121711,7.12251998063732,3.86704739271302e-11,3.29504663254089e-09
"19133",-4.5566449281261,2.09988697722113,3.91047141905414e-11,3.31822159832602e-09
"11018",-1.22299179317276,5.48596204135495,4.24946030315992e-11,3.59096955370332e-09
"4490",-1.45475990294832,4.55137735421545,4.58712274023325e-11,3.86035638015514e-09
"103",-1.5341126437865,4.82182019177508,4.62035293520784e-11,3.87238596413935e-09
"17331",1.65323951958033,5.6693554672863,4.66604157657629e-11,3.89471633636674e-09
"616",1.73830910125574,8.48123332815553,4.88691596132843e-11,4.06249721175473e-09
"764",-1.6221201992765,5.18174581388873,5.00896763655694e-11,4.14710073552993e-09
"1158",-1.39163098646544,4.57479892295178,5.2769003818831e-11,4.35131503264151e-09
"16010",-1.17753249306593,5.80538825201301,5.36574468216928e-11,4.40490789993484e-09
"13158",-1.49227598568213,4.53756019237801,5.38497298280543e-11,4.40490789993484e-09
"17603",3.09784809043398,4.99931931830033,5.58512677827023e-11,4.53444469379785e-09
"1919",-0.963345894990137,8.88323927245339,5.58767756888537e-11,4.53444469379785e-09
"7724",1.43726220733976,5.26612583855967,5.61380950188333e-11,4.53764443926933e-09
"10340",-1.64606727142578,5.49574539507557,5.77419292088259e-11,4.64890729260036e-09
"4237",1.86446533286918,6.2580685767503,7.43297674605355e-11,5.96095586105079e-09
"7031",-2.31262469341973,7.87966515693064,8.60603249094231e-11,6.87474079842853e-09
"9634",-1.33550495665134,5.30770050738774,8.7329686631006e-11,6.94899646538550e-09
"9897",1.84709392886374,7.31938199638057,8.85478000574918e-11,7.01861438440197e-09
"352",-1.67763791043432,6.35777118157758,9.01972550708074e-11,7.10210924323515e-09
"15962",5.493259539359,4.39050787038031,9.05052798338929e-11,7.10210924323515e-09
"17947",2.34248905863608,4.43279725620225,9.06430568452017e-11,7.10210924323515e-09
"10254",-1.31354634288359,4.94683518742268,9.21641811071734e-11,7.19373092993014e-09
"15785",2.36695097971883,3.98026697984071,9.7076766523453e-11,7.54836454526469e-09
"10265",-1.22127778871582,6.43073686318342,1.07153719722581e-10,8.30035442548021e-09
"5473",2.12547251403029,8.05776865924993,1.13120131160392e-10,8.72945917822645e-09
"18077",-1.36063772487737,4.40386399126621,1.1960320532292e-10,9.19505845433724e-09
"16805",2.09082730000279,8.43576787686353,1.23749690244631e-10,9.47820661236966e-09
"7689",3.08602356350998,5.93672820160906,1.33505232980616e-10,1.0187246322588e-08
"6037",-1.14216512604171,6.12350643787471,1.34536623018388e-10,1.02277841662678e-08
"6245",2.93209712460648,5.01139631075198,1.35130667381684e-10,1.02348968442794e-08
"16704",-1.83258998260596,5.16973231658118,1.5555275377775e-10,1.17382059585055e-08
"10054",2.22663186255081,5.87729858399834,1.65188085868352e-10,1.24194718970875e-08
"233",1.57795686544129,4.83002091449002,1.71295951678174e-10,1.28315099334017e-08
"7664",-1.68236837524106,6.04738450296632,1.74920588542081e-10,1.30552045098013e-08
"11787",-2.07465907661027,3.42003486552858,1.76364609896181e-10,1.31151137177342e-08
"15037",2.60273672727903,5.54414312841399,1.85905370718734e-10,1.37745102579642e-08
"5215",-1.28518767954578,5.29518084044988,1.88767595955846e-10,1.39360914703864e-08
"10160",4.47880146516003,6.8966052704503,2.04563660209451e-10,1.50479383139686e-08
"7346",-1.31855309303909,5.0924097547973,2.10390277182706e-10,1.54210794565818e-08
"14411",1.58250451792881,8.22537219111243,2.11912888960745e-10,1.54772092115973e-08
"17203",1.89514361763256,6.48814219146437,2.12789880017173e-10,1.54859539016056e-08
"6921",1.70877564325578,5.4307437742044,2.15725447203064e-10,1.56439198414988e-08
"7269",3.16742243702295,6.39561308277612,2.18711916536287e-10,1.57503922522777e-08
"64",1.93737867231411,6.15222197912623,2.18734053772463e-10,1.57503922522777e-08
"12667",-3.20863532946474,4.92504036537322,2.20398955564366e-10,1.5814591723829e-08
"16787",1.50646796035882,5.20047638170045,2.27040863814468e-10,1.62342156119086e-08
"2808",1.86525713420675,5.60824651843872,2.50161759450289e-10,1.7782933469016e-08
"6428",1.73101866908244,5.28039607345053,2.50439356434064e-10,1.7782933469016e-08
"14586",1.2234810915996,7.15197655925772,2.51659342105269e-10,1.78077285330545e-08
"4509",1.75265998729548,7.60280246453998,2.57594202511472e-10,1.81648325564124e-08
"15416",-1.06344536662101,5.68084698813783,2.6721074226242e-10,1.87782119562423e-08
"11238",-1.28443810480607,7.15893134065954,2.71202519976051e-10,1.8993464155857e-08
"5410",-1.13483225379039,4.81698671311333,2.92813284270131e-10,2.04369681342122e-08
"14482",-1.16184742530249,7.17660161006163,3.00993971403317e-10,2.09364854258429e-08
"6866",-2.04295573291748,5.10358568675279,3.07136514452468e-10,2.12510817663647e-08
"17495",-1.09875327154968,5.23301762159469,3.0759511994347e-10,2.12510817663647e-08
"4207",-1.69885707551622,4.71754489584769,3.23741220623182e-10,2.22912725984649e-08
"8965",2.89348609488033,3.33976272359236,3.28364837911576e-10,2.25337615278246e-08
"1074",1.91890056660198,6.62758790582835,3.47140248867251e-10,2.37425354158371e-08
"17587",1.39412454045336,5.56062648692997,3.63466412595545e-10,2.47762937919297e-08
"18515",-1.45198576758411,7.11033403568973,4.01176188978384e-10,2.72559902478669e-08
"14218",-0.906894954449108,8.32706423485048,4.73574907609954e-10,3.20682346378264e-08
"1976",-1.36802520381937,6.29212074757646,5.12810060085079e-10,3.46104479496365e-08
"3827",1.42952996483303,5.57707265665351,6.1014525896219e-10,4.10443110058447e-08
"2138",-3.36752236600992,3.43671168478691,6.76084629046648e-10,4.5330920209849e-08
"3131",1.40013324323695,5.66452212887336,6.86364600125553e-10,4.58697910868221e-08
"7516",-1.29560062080471,7.04950949249511,6.92744116503157e-10,4.61453328419856e-08
"13071",-1.412252761567,6.26469173372494,7.03080115373582e-10,4.66817803876291e-08
"9603",-1.08971625830805,5.3393611540226,7.16725571734286e-10,4.74337797474632e-08
"7830",-1.95529582610565,3.77686701851654,7.34693367366076e-10,4.84660624601169e-08
"11159",1.75441454703489,6.73036782133505,7.81041374628082e-10,5.13578653091456e-08
"18303",-1.24142488255137,7.99081918173029,7.97131555309803e-10,5.21772274971542e-08
"7917",1.50096397061858,6.50771632706426,7.98604997878204e-10,5.21772274971542e-08
"1038",1.12279436578153,6.76191805418564,8.13089908544877e-10,5.29544223877157e-08
"6592",2.59695579642738,4.45592689647571,8.32281047272755e-10,5.40322140213582e-08
"15130",-1.10789976291169,5.67256177051178,8.8132098324802e-10,5.70348547703228e-08
"14149",-3.77345085680874,2.51762113939332,8.8607214382229e-10,5.71614364074632e-08
"14373",-1.41543864148411,4.6381406203822,8.91385313906226e-10,5.7323363740196e-08
"1125",1.7589139178376,6.53700871892947,9.56447805789254e-10,6.13146007159568e-08
"4576",-2.11407980693311,4.53901812924209,1.00381921109838e-09,6.41503214592555e-08
"1245",1.70772243260649,5.12440859503885,1.38783684082618e-09,8.84151507629143e-08
"2735",-2.99273236584696,3.3600107008173,1.44753932984415e-09,9.19322338363752e-08
"1443",1.44010271341908,4.99567995436002,1.50646601905614e-09,9.53784213303347e-08
"3735",-1.0545366834955,7.007984153054,1.56878473209331e-09,9.90174313929267e-08
"2729",-1.38146325261938,4.52155357369583,1.62823425785963e-09,1.02453509456091e-07
"7752",-4.25279673793957,6.69946152886163,1.68173152219828e-09,1.05495121561211e-07
"12246",3.53110979441147,6.40055104069976,1.77057104822295e-09,1.10422275076462e-07
"3912",-1.73803500356529,4.93216826254823,1.77107609902589e-09,1.10422275076462e-07
"4853",-1.50082695935958,4.14443295828862,1.88594337690735e-09,1.16958556215551e-07
